-------------
8NMB420
            88.0dB           200W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 34.5Hz  72Hz  149Hz  100.9dB   36l +   6l  * 1x40mm   1149mm
 37.9Hz  76Hz  153Hz  102.5dB   28l +   6l  * 1x40mm   1024mm
 41.5Hz  81Hz  156Hz  104.1dB   23l +   6l  * 1x40mm    912mm
 45.4Hz  85Hz  160Hz  105.7dB   19l +   6l  * 1x40mm    813mm
 49.7Hz  90Hz  165Hz  107.2dB   15l +   6l  * 1x40mm    725mm
 54.2Hz  96Hz  169Hz  108.8dB   13l +   6l  * 1x40mm    646mm
 59.1Hz 101Hz  174Hz  110.3dB   11l +   6l  * 1x40mm    576mm
 64.4Hz 107Hz  179Hz  111.7dB    9l +   6l  * 1x40mm    513mm
 70.1Hz 114Hz  185Hz  113.2dB    8l +   6l  - 1x50mm    715mm
 76.1Hz 121Hz  191Hz  114.6dB    7l +   6l  - 1x50mm    637mm
 82.6Hz 128Hz  197Hz  116.1dB    6l +   6l  - 1x50mm    568mm
 34.5Hz  84Hz  149Hz  100.9dB   20l +   5l  * 1x40mm   1149mm
 37.9Hz  89Hz  153Hz  102.5dB   16l +   5l  * 1x40mm   1024mm
 41.5Hz  94Hz  156Hz  104.1dB   14l +   5l  * 1x40mm    912mm
 45.4Hz 100Hz  160Hz  105.7dB   12l +   5l  * 1x40mm    813mm
 49.7Hz 105Hz  165Hz  107.2dB   10l +   5l  * 1x40mm    725mm
 54.2Hz 112Hz  169Hz  108.8dB    9l +   5l  * 1x40mm    646mm
 59.1Hz 118Hz  174Hz  110.3dB    7l +   5l  * 1x40mm    576mm
 64.4Hz 125Hz  179Hz  111.7dB    6l +   5l  * 1x40mm    513mm
 70.1Hz 133Hz  185Hz  113.2dB    6l +   5l  - 1x50mm    715mm
 76.1Hz 141Hz  191Hz  114.6dB    5l +   5l  - 1x50mm    637mm
 82.6Hz 149Hz  197Hz  116.1dB    4l +   5l  - 1x50mm    568mm
 41.4Hz 101Hz  244Hz  104.1dB   11l +   3l  * 1x40mm   1149mm
 45.7Hz 106Hz  248Hz  105.8dB   10l +   3l  * 1x40mm   1024mm
