-------------
S21 L1000
            98.0dB          1000W      4x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.2Hz  38Hz   79Hz  104.3dB -3563l +  79l  * 2x100mm  4093mm
 20.0Hz  40Hz   81Hz  105.9dB 3025l +  79l  * 2x100mm  3648mm
 21.9Hz  43Hz   83Hz  107.5dB  983l +  79l  * 2x100mm  3251mm
 24.0Hz  45Hz   85Hz  109.1dB  560l +  79l  * 2x100mm  2898mm
 26.3Hz  48Hz   87Hz  110.6dB  377l +  79l  * 2x100mm  2582mm
 28.7Hz  51Hz   89Hz  112.1dB  276l +  79l  * 2x100mm  2302mm
 31.3Hz  54Hz   92Hz  113.6dB  213l +  79l  * 2x100mm  2051mm
 34.0Hz  57Hz   95Hz  115.1dB  169l +  79l  * 2x100mm  1829mm
 37.0Hz  60Hz   98Hz  116.6dB  137l +  79l  * 2x100mm  1629mm
 40.2Hz  64Hz  101Hz  118.0dB  113l +  79l  * 2x100mm  1452mm
 43.7Hz  67Hz  104Hz  119.4dB   95l +  79l  * 2x100mm  1295mm
 47.3Hz  71Hz  108Hz  120.8dB   80l +  79l  * 2x100mm  1154mm
 51.2Hz  74Hz  112Hz  122.2dB   73l +  79l  * 2x100mm  1080mm
 55.4Hz  80Hz  116Hz  123.6dB   59l +  79l  * 2x100mm   916mm
 59.9Hz  85Hz  121Hz  124.9dB   50l +  79l  * 2x100mm   817mm
 64.6Hz  90Hz  125Hz  126.3dB   44l +  79l  * 2x100mm   728mm
 69.7Hz  95Hz  130Hz  127.6dB   38l +  79l  * 2x100mm   649mm
 18.2Hz  44Hz   79Hz  104.3dB  654l +  58l  * 2x100mm  4093mm
 20.0Hz  47Hz   81Hz  105.9dB  423l +  58l  * 2x100mm  3647mm
 21.9Hz  50Hz   83Hz  107.5dB  303l +  58l  * 2x100mm  3251mm
 24.0Hz  53Hz   85Hz  109.1dB  230l +  58l  * 2x100mm  2898mm
 26.3Hz  56Hz   87Hz  110.6dB  181l +  58l  * 2x100mm  2583mm
 28.7Hz  59Hz   89Hz  112.1dB  146l +  58l  * 2x100mm  2302mm
 31.3Hz  63Hz   92Hz  113.6dB  120l +  58l  * 2x100mm  2051mm
 34.0Hz  66Hz   95Hz  115.1dB  100l +  58l  * 2x100mm  1828mm
 37.0Hz  70Hz   98Hz  116.6dB   84l +  58l  * 2x100mm  1630mm
 40.2Hz  74Hz  101Hz  118.0dB   72l +  58l  * 2x100mm  1452mm
 43.7Hz  79Hz  104Hz  119.4dB   61l +  58l  * 2x100mm  1294mm
 47.3Hz  71Hz  108Hz  120.8dB   80l +  58l  * 2x100mm  1570mm
 51.2Hz  74Hz  112Hz  122.2dB   73l +  58l  * 2x100mm  1471mm
 55.4Hz  80Hz  116Hz  123.6dB   59l +  58l  * 2x100mm  1247mm
 51.5Hz  85Hz  121Hz  122.3dB   50l +  58l  * 2x100mm  1112mm
 56.2Hz  90Hz  125Hz  123.8dB   44l +  58l  * 2x100mm   991mm
 69.7Hz  95Hz  130Hz  127.6dB   38l +  58l  * 2x100mm   883mm
 21.9Hz  53Hz  129Hz  107.5dB  221l +  41l  * 2x100mm  4093mm
 24.1Hz  56Hz  131Hz  109.1dB  175l +  41l  * 2x100mm  3649mm
