                       fs   mms    cms    cms1   cms2   cms     mms2
S21 L1000             39.0    0.0  0.000  0.050  0.000  0.025  332.0 
S18 I1000             35.0  225.0  0.080  0.107  0.092  0.100  192.6 
R1830                 33.8    0.0  0.000  0.131  0.000  0.065  169.9 
R1840                 28.4    0.0  0.000  0.149  0.000  0.075  210.4 
S18 G800A             46.6    0.0  0.000  0.059  0.000  0.030  196.4 
C1530 B4              44.0    0.0  0.000  0.134  0.000  0.067   97.7 
SCB15 G800            48.6    0.0  0.000  0.081  0.000  0.040  132.8 
S15 G710              63.8    0.0  0.000  0.042  0.000  0.021  147.1 
V8202                 68.6    0.0  0.000  0.226  0.000  0.113   23.8 
10204                 56.6    0.0  0.000  0.204  0.000  0.102   38.7 
C1225 P34             61.0    0.0  0.000  0.115  0.000  0.058   59.0 
