                       fs   mms    cms    cms1   cms2   cms     mms2
AC_5_25_HE-S          49.0    0.0  0.000  1.42   0.000  0.710    7.4 
AC_6_5_HE             39.0    0.0  0.000  1.78   0.000  0.889    9.4 
AC_8_HE               35.0    0.0  0.000  1.26   0.000  0.629   16.4 
AC_10_HE              28.0    0.0  0.000  0.612  0.000  0.306   52.8 
AC_8SW8               37.0    0.0  0.000  0.395  0.000  0.198   46.8 
AC_8SW4               37.0    0.0  0.000  0.379  0.000  0.189   48.9 
AC_10SW8              31.0    0.0  0.000  0.325  0.000  0.162   81.2 
AC_10SW4              28.0    0.0  0.000  0.300  0.000  0.150  107.7 
AC_12SW8              26.0    0.0  0.000  0.219  0.000  0.110  170.9 
AC_12SW4              25.0    0.0  0.000  0.196  0.000  0.098  207.1 
