-------------
AC250SW
            88.0dB           180W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.6Hz  35Hz   71Hz   95.7dB 1938l +  18l  * 1x50mm   2563mm
 19.3Hz  37Hz   73Hz   97.2dB  287l +  18l  * 1x50mm   2284mm
 21.1Hz  40Hz   75Hz   98.8dB  147l +  18l  * 1x50mm   2036mm
 23.1Hz  42Hz   77Hz  100.4dB   95l +  18l  * 1x50mm   1814mm
 25.2Hz  45Hz   79Hz  101.9dB   68l +  18l  * 1x50mm   1617mm
 27.5Hz  47Hz   81Hz  103.4dB   51l +  18l  * 1x50mm   1441mm
 30.0Hz  50Hz   83Hz  104.9dB   40l +  18l  * 1x50mm   1285mm
 32.6Hz  53Hz   86Hz  106.3dB   33l +  18l  * 1x50mm   1145mm
 35.4Hz  56Hz   89Hz  107.8dB   27l +  18l  * 1x50mm   1020mm
 38.4Hz  59Hz   92Hz  109.2dB   22l +  18l  * 1x50mm    910mm
 41.6Hz  63Hz   95Hz  110.6dB   19l +  18l  * 1x50mm    811mm
 45.1Hz  65Hz   98Hz  112.0dB   17l +  18l  * 1x50mm    759mm
 48.8Hz  71Hz  102Hz  113.3dB   14l +  18l  * 1x50mm    644mm
 52.7Hz  75Hz  106Hz  114.7dB   12l +  18l  * 1x50mm    574mm
 56.9Hz  79Hz  110Hz  116.0dB   10l +  18l  * 1x50mm    511mm
 61.3Hz  84Hz  115Hz  117.3dB    9l +  18l  * 1x50mm    456mm
 16.1Hz  39Hz   69Hz   94.0dB  175l +  13l  * 1x50mm   2876mm
 17.6Hz  41Hz   71Hz   95.7dB  107l +  13l  * 1x50mm   2563mm
 19.3Hz  44Hz   73Hz   97.2dB   75l +  13l  * 1x50mm   2284mm
 21.1Hz  46Hz   75Hz   98.8dB   56l +  13l  * 1x50mm   2036mm
 23.1Hz  49Hz   77Hz  100.4dB   44l +  13l  * 1x50mm   1815mm
 25.2Hz  52Hz   79Hz  101.9dB   35l +  13l  * 1x50mm   1617mm
 27.5Hz  55Hz   81Hz  103.4dB   29l +  13l  * 1x50mm   1441mm
 30.0Hz  58Hz   83Hz  104.9dB   24l +  13l  * 1x50mm   1285mm
 32.6Hz  62Hz   86Hz  106.3dB   20l +  13l  * 1x50mm   1145mm
 35.4Hz  65Hz   89Hz  107.8dB   17l +  13l  * 1x50mm   1020mm
 38.4Hz  69Hz   92Hz  109.2dB   14l +  13l  * 1x50mm    909mm
 41.6Hz  63Hz   95Hz  110.6dB   19l +  13l  * 1x50mm   1103mm
 45.1Hz  65Hz   98Hz  112.0dB   17l +  13l  * 1x50mm   1033mm
 48.8Hz  71Hz  102Hz  113.3dB   14l +  13l  * 1x50mm    876mm
 45.3Hz  75Hz  106Hz  112.1dB   12l +  13l  * 1x50mm    781mm
 49.5Hz  79Hz  110Hz  113.6dB   10l +  13l  * 1x50mm    696mm
 61.3Hz  84Hz  115Hz  117.3dB    9l +  13l  * 1x50mm    620mm
 19.3Hz  47Hz  113Hz   97.2dB   54l +   9l  * 1x50mm   2875mm
 21.2Hz  50Hz  115Hz   98.9dB   42l +   9l  * 1x50mm   2563mm
 23.4Hz  52Hz  118Hz  100.6dB   34l +   9l  * 1x50mm   2285mm
 25.7Hz  56Hz  120Hz  102.2dB   28l +   9l  * 1x50mm   2036mm
 28.3Hz  59Hz  122Hz  103.9dB   23l +   9l  * 1x50mm   1815mm
 31.0Hz  62Hz  125Hz  105.5dB   19l +   9l  * 1x50mm   1617mm
 34.0Hz  66Hz  128Hz  107.1dB   16l +   9l  * 1x50mm   1441mm
 37.2Hz  70Hz  131Hz  108.7dB   14l +   9l  * 1x50mm   1284mm
 40.7Hz  74Hz  135Hz  110.2dB   12l +   9l  * 1x50mm   1145mm
 44.4Hz  78Hz  139Hz  111.7dB   10l +   9l  * 1x50mm   1020mm
 48.5Hz  83Hz  143Hz  113.2dB    9l +   9l  * 1x50mm    909mm
 52.8Hz  88Hz  147Hz  114.7dB    8l +   9l  * 1x50mm    811mm
 57.4Hz  93Hz  152Hz  116.2dB    7l +   9l  * 1x50mm    722mm
 62.4Hz  99Hz  157Hz  117.6dB    6l +   9l  * 1x50mm    644mm
 67.7Hz 105Hz  162Hz  119.0dB    5l +   9l  * 1x50mm    574mm
 73.4Hz 111Hz  168Hz  120.4dB    5l +   9l  * 1x50mm    511mm
 79.4Hz 117Hz  174Hz  121.8dB    4l +   9l  * 1x50mm    456mm
-------------
SW31-8
            85.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.1Hz  29Hz   50Hz  101.9dB  692l +  49l  * 1x70mm   2726mm
 18.6Hz  31Hz   52Hz  103.4dB  293l +  49l  * 1x70mm   2430mm
 20.3Hz  33Hz   53Hz  104.9dB  178l +  49l  * 1x70mm   2166mm
 22.0Hz  35Hz   55Hz  106.3dB  123l +  49l  * 1x70mm   1930mm
 23.9Hz  37Hz   57Hz  107.7dB   92l +  49l  * 1x70mm   1720mm
 25.9Hz  39Hz   59Hz  109.1dB   71l +  49l  * 1x70mm   1533mm
 28.0Hz  40Hz   61Hz  110.5dB   63l +  49l  * 1x70mm   1436mm
 30.3Hz  44Hz   64Hz  111.9dB   47l +  49l  * 1x70mm   1218mm
 32.8Hz  47Hz   66Hz  113.2dB   39l +  49l  * 1x70mm   1085mm
 35.4Hz  49Hz   69Hz  114.6dB   32l +  49l  * 1x70mm    967mm
 38.2Hz  52Hz   71Hz  115.9dB   27l +  49l  * 1x70mm    862mm
