-------------
hm130c0
            88.0dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 33.0Hz  69Hz  143Hz   86.0dB   10l +   2l  + 1x40mm   3494mm
 36.2Hz  73Hz  146Hz   87.7dB    8l +   2l  + 1x40mm   3114mm
 39.7Hz  77Hz  149Hz   89.3dB    7l +   2l  + 1x40mm   2775mm
 43.4Hz  82Hz  153Hz   90.8dB    6l +   2l  + 1x40mm   2474mm
 47.5Hz  86Hz  157Hz   92.4dB    5l +   2l  + 1x40mm   2204mm
 51.8Hz  92Hz  162Hz   93.9dB    4l +   2l  + 1x40mm   1965mm
 56.5Hz  97Hz  166Hz   95.4dB    4l +   2l  + 1x40mm   1751mm
 61.6Hz 103Hz  171Hz   96.9dB    3l +   2l  + 1x40mm   1561mm
 67.0Hz 109Hz  177Hz   98.3dB    3l +   2l  + 1x40mm   1391mm
 72.7Hz 115Hz  182Hz   99.8dB    2l +   2l  + 1x40mm   1240mm
 78.9Hz 122Hz  189Hz  101.2dB    2l +   2l  + 1x40mm   1105mm
 85.6Hz 129Hz  195Hz  102.6dB    2l +   2l  + 1x40mm    985mm
 92.6Hz 134Hz  202Hz  104.0dB    2l +   2l  + 1x40mm    922mm
100.2Hz 145Hz  210Hz  105.3dB    1l +   2l  - 1x40mm    782mm
108.3Hz 154Hz  218Hz  106.7dB    1l +   2l  - 1x40mm    697mm
116.9Hz 163Hz  227Hz  108.0dB    1l +   2l  - 1x40mm    621mm
126.0Hz 172Hz  236Hz  109.3dB    1l +   2l  - 1x40mm    554mm
 33.0Hz  80Hz  143Hz   86.0dB    6l +   2l  + 1x40mm   3494mm
 36.2Hz  85Hz  146Hz   87.7dB    5l +   2l  + 1x40mm   3113mm
 39.7Hz  90Hz  149Hz   89.3dB    4l +   2l  + 1x40mm   2775mm
 43.4Hz  95Hz  153Hz   90.8dB    4l +   2l  + 1x40mm   2474mm
 47.5Hz 101Hz  157Hz   92.4dB    3l +   2l  + 1x40mm   2205mm
 51.8Hz 107Hz  162Hz   93.9dB    3l +   2l  + 1x40mm   1965mm
 56.5Hz 113Hz  166Hz   95.4dB    2l +   2l  + 1x40mm   1751mm
 61.6Hz 120Hz  171Hz   96.9dB    2l +   2l  + 1x40mm   1561mm
 67.0Hz 127Hz  177Hz   98.3dB    2l +   2l  + 1x40mm   1391mm
 72.7Hz 134Hz  182Hz   99.8dB    2l +   2l  + 1x40mm   1240mm
 78.9Hz 142Hz  189Hz  101.2dB    1l +   2l  + 1x40mm   1105mm
 85.6Hz 129Hz  195Hz  102.6dB    2l +   2l  + 1x40mm   1340mm
 92.6Hz 134Hz  202Hz  104.0dB    2l +   2l  + 1x40mm   1255mm
100.2Hz 145Hz  210Hz  105.3dB    1l +   2l  + 1x40mm   1065mm
 93.1Hz 154Hz  218Hz  104.1dB    1l +   2l  + 1x40mm    949mm
101.6Hz 163Hz  227Hz  105.6dB    1l +   2l  + 1x40mm    846mm
126.0Hz 172Hz  236Hz  109.3dB    1l +   2l  - 1x40mm    754mm
 39.6Hz  96Hz  233Hz   89.2dB    4l +   1l  + 1x40mm   3493mm
 43.7Hz 102Hz  237Hz   90.9dB    3l +   1l  + 1x40mm   3114mm
 48.1Hz 108Hz  242Hz   92.6dB    3l +   1l  + 1x40mm   2776mm
 52.9Hz 114Hz  246Hz   94.2dB    2l +   1l  + 1x40mm   2473mm
 58.1Hz 121Hz  252Hz   95.9dB    2l +   1l  + 1x40mm   2205mm
 63.8Hz 128Hz  257Hz   97.5dB    2l +   1l  + 1x40mm   1965mm
