-------------
hp210z0
            88.0dB            70W       1x70mm
   fu     fc      fo      SplMech  Vb1     Vb2       d         l        C
 10.3 Hz  30 Hz   87 Hz   74.8 dB   oo l +  15 l    1x70mm    776 mm  3047 µF
 11.0 Hz  31 Hz   89 Hz   76.0 dB  980 l +  15 l    1x70mm    706 mm  2788 µF
 12.0 Hz  33 Hz   92 Hz   77.5 dB  400 l +  15 l    1x70mm    622 mm  2483 µF
 13.0 Hz  35 Hz   95 Hz   78.9 dB  249 l +  15 l    1x70mm    554 mm  2232 µF
 14.0 Hz  37 Hz   97 Hz   80.2 dB  179 l +  15 l    1x70mm    496 mm  2022 µF
 15.0 Hz  39 Hz   99 Hz   81.4 dB  139 l +  15 l    1x70mm    448 mm  1844 µF
 16.0 Hz  40 Hz  101 Hz   82.5 dB  114 l +  15 l    1x70mm    406 mm  1692 µF
 17.0 Hz  42 Hz  103 Hz   83.6 dB   96 l +  15 l    1x70mm    370 mm  1561 µF
 18.0 Hz  44 Hz  105 Hz   84.5 dB   82 l +  15 l    1x70mm    339 mm  1446 µF
 19.0 Hz  45 Hz  107 Hz   85.5 dB   72 l +  15 l    1x70mm    311 mm  1346 µF
 20.0 Hz  47 Hz  109 Hz   86.4 dB   64 l +  15 l    1x70mm    287 mm  1257 µF
 21.0 Hz  48 Hz  111 Hz   87.2 dB   57 l +  15 l    1x70mm    266 mm  1177 µF
 22.0 Hz  50 Hz  113 Hz   88.0 dB   52 l +  15 l    1x70mm    246 mm  1107 µF
 23.0 Hz  51 Hz  114 Hz   88.8 dB   47 l +  15 l    1x70mm    229 mm  1043 µF
 24.0 Hz  53 Hz  116 Hz   89.5 dB   43 l +  15 l    1x70mm    213 mm   985 µF
 25.0 Hz  54 Hz  118 Hz   90.2 dB   40 l +  15 l    1x70mm    199 mm   933 µF
 26.0 Hz  56 Hz  119 Hz   90.9 dB   37 l +  15 l    1x70mm    186 mm   886 µF
 27.0 Hz  57 Hz  121 Hz   91.6 dB   35 l +  15 l    1x70mm    174 mm   842 µF
 28.0 Hz  58 Hz  122 Hz   92.2 dB   33 l +  15 l    1x70mm    163 mm   802 µF
 29.0 Hz  60 Hz  124 Hz   92.8 dB   31 l +  15 l    1x70mm    153 mm   766 µF
 30.0 Hz  61 Hz  125 Hz   93.4 dB   29 l +  15 l    1x70mm    144 mm   732 µF

