                       fs   mms    cms    cms1   cms2   cms     mms2
ax165k                69.0   15.0  0.350  0.367  0.355  0.361   14.5 
ax165xl               78.0   18.0  0.200  0.255  0.231  0.243   16.4 
ex130sq               74.0    8.6  1.000 3372.24   0.000 1686.12     0.0 
ex165sq               55.0   14.0  0.600  0.603  0.598  0.601   13.9 
ex165dust             56.0   16.0  0.450  0.442  0.505  0.474   18.3 
ex165phase            56.0   15.0  0.470  0.483  0.538  0.511   16.7 
ax165fl               60.0   90.0  0.700  0.865  0.078  0.472    8.1 
ax8fl                 63.0   21.0  0.300  5.86   0.304  3.08     1.1 
cx12                  40.0  150.0  0.100  0.117  0.106  0.111  135.0 
cx15                  35.0  200.0  0.100  0.109  0.103  0.106  189.7 
radion10              41.0   74.0  0.200  0.229  0.204  0.216   65.8 
radion12              30.0  110.0  0.240  0.273  0.256  0.264  103.2 
radion15              28.0  180.0  0.170  0.191  0.179  0.185  169.3 
xion10                38.0   85.0  0.200  0.209  0.206  0.208   84.1 
xion12                29.0  160.0  0.180  0.188  0.188  0.188  160.5 
xion15                26.0  260.0  0.140  0.133  0.144  0.139  281.7 
xion12-800            33.0  180.0  0.140  0.138  0.129  0.134  168.8 
xion15-1000           33.0  290.0  0.050  0.055  0.080  0.067  426.7 
helon12spl            42.0  260.0  0.050  0.088  0.055  0.072  163.2 
helon15spl            36.0  300.0  0.070  0.070  0.065  0.067  280.1 
hx08sq                45.0   50.0  0.230  0.249  0.250  0.250   50.2 
hx10sq                38.0  120.0  0.140  0.148  0.146  0.147  118.4 
hx12sq                31.0  140.0  0.160  0.091  0.188  0.140  290.0 
krypton12             37.0  191.0  0.100  0.088  0.097  0.092  210.3 
m15                   24.4  173.7  0.100  0.258  0.245  0.252  164.8 
                       0.0    0.0  0.000
