                      fs     mms     qms        rms      rms/sd
cx12                  40.0  150.0    2.000     18.850    0.03770
cx15                  35.0  200.0    3.000     14.661    0.01788
radion12              30.0  110.0    4.000      5.184    0.01037
radion15              28.0  180.0    5.000      6.333    0.00772
xion12                29.0  160.0    3.000      9.718    0.01944
xion15                26.0  260.0    3.000     14.158    0.01727
xion12-800            33.0  180.0    3.000     12.441    0.02488
xion15-1000           33.0  290.0    3.000     20.043    0.02444
helon12spl            42.0  260.0    1.000     68.612    0.13722
helon15spl            36.0  300.0    1.000     67.858    0.08275
hx10sq                38.0  120.0    3.000      9.550    0.02894
hx12sq                31.0  140.0    4.000      6.817    0.01363
krypton12             37.0  191.0    9.000      4.934    0.00987
