-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 51.3Hz  83Hz  135Hz   89.6dB   14l +   1l    1x40mm   4909mm
 55.8Hz  88Hz  140Hz   91.1dB    5l +   1l    1x40mm   4375mm
 60.5Hz  94Hz  145Hz   92.5dB    3l +   1l    1x40mm   3900mm
 65.6Hz  99Hz  150Hz   93.9dB    2l +   1l    1x40mm   3475mm
 71.0Hz 102Hz  155Hz   95.3dB    2l +   1l    1x40mm   3255mm
 76.9Hz 111Hz  161Hz   96.6dB    1l +   1l    1x40mm   2760mm
 83.0Hz 118Hz  167Hz   98.0dB    1l +   1l    1x40mm   2460mm
-------------
Aura_NS4_255_8D
            84.0dB            20W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 32.3Hz  65Hz  130Hz   86.4dB   35l +   1l    1x40mm   6861mm
 35.4Hz  69Hz  133Hz   88.0dB   14l +   1l    1x40mm   6114mm
 38.7Hz  73Hz  137Hz   89.5dB    9l +   1l    1x40mm   5451mm
 42.3Hz  77Hz  140Hz   91.1dB    6l +   1l    1x40mm   4857mm
 46.2Hz  82Hz  144Hz   92.6dB    4l +   1l    1x40mm   4329mm
 50.4Hz  86Hz  148Hz   94.1dB    3l +   1l    1x40mm   3858mm
 54.9Hz  92Hz  153Hz   95.6dB    3l +   1l    1x40mm   3439mm
 59.7Hz  97Hz  158Hz   97.0dB    2l +   1l    1x40mm   3065mm
 64.8Hz 103Hz  163Hz   98.5dB    2l +   1l    1x40mm   2732mm
 70.4Hz 109Hz  168Hz   99.9dB    2l +   1l    1x40mm   2435mm
 76.3Hz 115Hz  174Hz  101.3dB    1l +   1l    1x40mm   2170mm
 82.6Hz 119Hz  180Hz  102.7dB    1l +   1l    1x40mm   2032mm
-------------
Aura_NS4_255_4D
            84.0dB            20W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 30.3Hz  63Hz  131Hz   85.3dB   17l +   1l    1x40mm   7670mm
 33.3Hz  67Hz  134Hz   86.9dB   10l +   1l    1x40mm   6836mm
 36.4Hz  71Hz  137Hz   88.5dB    7l +   1l    1x40mm   6092mm
 39.9Hz  75Hz  141Hz   90.0dB    5l +   1l    1x40mm   5431mm
 43.6Hz  79Hz  144Hz   91.6dB    4l +   1l    1x40mm   4839mm
 47.6Hz  84Hz  148Hz   93.1dB    3l +   1l    1x40mm   4313mm
 51.9Hz  89Hz  153Hz   94.6dB    3l +   1l    1x40mm   3844mm
 56.5Hz  94Hz  157Hz   96.1dB    2l +   1l    1x40mm   3426mm
 61.5Hz 100Hz  162Hz   97.6dB    2l +   1l    1x40mm   3053mm
 66.8Hz 106Hz  168Hz   99.0dB    2l +   1l    1x40mm   2722mm
 72.5Hz 112Hz  173Hz  100.4dB    1l +   1l    1x40mm   2426mm
 78.6Hz 119Hz  179Hz  101.8dB    1l +   1l    1x40mm   2162mm
-------------
Aura_NFS8_495_8B
            84.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 22.6Hz  44Hz   85Hz   93.1dB  182l +   7l  * 1x40mm   2665mm
 24.7Hz  46Hz   87Hz   94.7dB   73l +   7l  * 1x40mm   2376mm
 27.0Hz  49Hz   89Hz   96.2dB   43l +   7l  * 1x40mm   2117mm
 29.5Hz  52Hz   92Hz   97.8dB   30l +   7l  * 1x40mm   1887mm
 32.2Hz  55Hz   95Hz   99.3dB   22l +   7l  * 1x40mm   1682mm
 35.0Hz  58Hz   97Hz  100.7dB   17l +   7l  * 1x40mm   1499mm
 38.1Hz  62Hz  101Hz  102.2dB   14l +   7l  * 1x40mm   1336mm
 41.4Hz  66Hz  104Hz  103.6dB   11l +   7l  * 1x40mm   1190mm
 44.9Hz  69Hz  107Hz  105.1dB    9l +   7l  * 1x40mm   1061mm
 48.7Hz  74Hz  111Hz  106.5dB    8l +   7l  * 1x40mm    946mm
 52.7Hz  76Hz  115Hz  107.8dB    7l +   7l  * 1x40mm    886mm
 57.0Hz  83Hz  119Hz  109.2dB    6l +   7l  * 1x40mm    751mm
 61.6Hz  87Hz  124Hz  110.6dB    5l +   7l  * 1x40mm    669mm
 66.5Hz  93Hz  129Hz  111.9dB    4l +   7l  * 1x40mm    597mm
 71.7Hz  98Hz  134Hz  113.2dB    4l +   7l  * 1x40mm    532mm
 18.8Hz  46Hz   81Hz   89.9dB   91l +   5l  * 1x40mm   3355mm
 20.6Hz  48Hz   83Hz   91.5dB   50l +   5l  * 1x40mm   2990mm
 22.6Hz  51Hz   85Hz   93.1dB   33l +   5l  * 1x40mm   2665mm
 24.7Hz  54Hz   87Hz   94.7dB   24l +   5l  * 1x40mm   2375mm
 27.0Hz  57Hz   89Hz   96.2dB   19l +   5l  * 1x40mm   2117mm
 29.5Hz  61Hz   92Hz   97.8dB   15l +   5l  * 1x40mm   1887mm
 32.2Hz  64Hz   95Hz   99.3dB   12l +   5l  * 1x40mm   1682mm
 35.0Hz  68Hz   97Hz  100.7dB   10l +   5l  * 1x40mm   1499mm
 38.1Hz  72Hz  101Hz  102.2dB    8l +   5l  * 1x40mm   1336mm
 41.4Hz  76Hz  104Hz  103.6dB    7l +   5l  * 1x40mm   1190mm
 44.9Hz  81Hz  107Hz  105.1dB    6l +   5l  * 1x40mm   1061mm
 48.7Hz  74Hz  111Hz  106.5dB    8l +   5l  * 1x40mm   1287mm
 52.7Hz  76Hz  115Hz  107.8dB    7l +   5l  * 1x40mm   1205mm
 57.0Hz  83Hz  119Hz  109.2dB    6l +   5l  * 1x40mm   1022mm
 52.9Hz  87Hz  124Hz  107.9dB    5l +   5l  * 1x40mm    911mm
 57.8Hz  93Hz  129Hz  109.5dB    4l +   5l  * 1x40mm    812mm
 71.7Hz  98Hz  134Hz  113.2dB    4l +   5l  * 1x40mm    724mm
 22.5Hz  55Hz  133Hz   93.1dB   23l +   4l  * 1x40mm   3355mm
 24.8Hz  58Hz  135Hz   94.8dB   18l +   4l  * 1x40mm   2991mm
 27.4Hz  61Hz  137Hz   96.5dB   14l +   4l  * 1x40mm   2665mm
 30.1Hz  65Hz  140Hz   98.1dB   11l +   4l  * 1x40mm   2375mm
 33.1Hz  69Hz  143Hz   99.7dB   10l +   4l  * 1x40mm   2117mm
 36.3Hz  73Hz  146Hz  101.4dB    8l +   4l  * 1x40mm   1887mm
 39.8Hz  77Hz  150Hz  103.0dB    7l +   4l  * 1x40mm   1681mm
 43.5Hz  82Hz  154Hz  104.5dB    6l +   4l  * 1x40mm   1499mm
 47.6Hz  87Hz  158Hz  106.1dB    5l +   4l  * 1x40mm   1336mm
 52.0Hz  92Hz  162Hz  107.6dB    4l +   4l  * 1x40mm   1190mm
 56.7Hz  97Hz  167Hz  109.1dB    4l +   4l  * 1x40mm   1061mm
 61.7Hz 103Hz  172Hz  110.6dB    3l +   4l  * 1x40mm    946mm
 67.1Hz 109Hz  177Hz  112.0dB    3l +   4l  * 1x40mm    843mm
 72.9Hz 116Hz  183Hz  113.5dB    2l +   4l  * 1x40mm    751mm
 79.1Hz 122Hz  189Hz  114.9dB    2l +   4l  * 1x40mm    669mm
-------------
Aura_NFS8_495_4A
            84.0dB           100W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.7Hz  56Hz  116Hz   91.4dB   11l +   3l  * 1x40mm   4547mm
 29.3Hz  59Hz  118Hz   93.0dB    9l +   3l  * 1x40mm   4053mm
