                       fs   mms    cms    cms1   cms2   cms     mms2
Aura_NSW1_205_8A     220.0    0.0  0.000  1.17   0.000  0.586    0.4 
Aura_NSW2_326_8A     200.0    0.0  0.000  0.434  0.000  0.217    1.5 
Aura_NS3_193_8A       80.0    0.0  0.000  0.915  0.000  0.458    4.3 
Aura_NS4_255_8D       62.0    0.0  0.000  0.938  0.000  0.469    7.0 
Aura_NS4_255_4D       57.0    0.0  0.000  1.11   0.000  0.557    7.0 
Aura_NFS8_495_8B      42.0    0.0  0.000  0.293  0.000  0.147   49.0 
Aura_NFS8_495_4A      35.0    0.0  0.000  0.312  0.000  0.156   66.4 
Aura_NS10_513_4A      29.0    0.0  0.000  0.323  0.000  0.162   93.2 
Aura_NS10_794_4A      32.0    0.0  0.000  0.241  0.000  0.120  102.8 
Aura_NS12_513_4A      23.0    0.0  0.000  0.381  0.000  0.191  125.6 
Aura_NS12_794_4A      27.0    0.0  0.000  0.241  0.000  0.121  144.1 
Aura_NS15_992_4A      20.0    0.0  0.000  0.209  0.000  0.104  303.0 
Aura_NS18_992_4A      20.0    0.0  0.000  0.164  0.000  0.082  386.3 
