                       fs   mms    cms    cms1   cms2   cms     mms2
6NDL38                72.0   17.0  0.000  0.295  0.287  0.291   16.6 
8PS21                 73.0   23.0  0.000  0.212  0.207  0.209   22.4 
8NW51                 74.0   28.0  0.000  0.167  0.165  0.166   27.8 
8NDL51                66.0   28.0  0.000  0.212  0.208  0.210   27.4 
8cx21                 74.0   21.0  0.000  0.227  0.220  0.224   20.4 
15PS76                38.0  106.0  0.000  0.164  0.165  0.165  106.7 
18PS76                39.0  149.0  0.000  0.104  0.112  0.108  160.7 
18PS100               30.0  202.0  0.000  0.123  0.139  0.131  229.4 
18PZB100              30.0  170.0  0.000  0.169  0.166  0.167  166.2 
12HCX76               42.0   47.0  0.000  0.323  0.306  0.314   44.5 
15HCX76               38.0   82.0  0.000  0.247  0.214  0.230   71.1 
