                      fs     mms     qms        rms      rms/sd
6NDL38                72.0   17.0   11.000      0.699    0.00530
8PS21                 73.0   23.0    4.000      2.637    0.01199
8NW51                 74.0   28.0    2.000      6.509    0.02959
8NDL51                66.0   28.0    3.000      3.870    0.01759
8cx21                 74.0   21.0    4.000      2.441    0.01110
15PS76                38.0  106.0    5.000      5.062    0.00592
18PS76                39.0  149.0    6.000      6.085    0.00503
18PS100               30.0  202.0    4.000      9.519    0.00787
18PZB100              30.0  170.0    8.000      4.006    0.00353
12HCX76               42.0   47.0    8.000      1.550    0.00297
15HCX76               38.0   82.0    5.000      3.916    0.00458
