-------------
raptor12
            87.0dB          1000W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 16.2Hz  34Hz   70Hz  101.8dB  -57l +  14l  * 1x50mm   3637mm
 17.8Hz  36Hz   72Hz  103.4dB  -70l +  14l  * 1x50mm   3242mm
 19.5Hz  38Hz   73Hz  105.0dB  -96l +  14l  * 1x50mm   2889mm
 21.3Hz  40Hz   75Hz  106.6dB -163l +  14l  * 1x50mm   2575mm
 23.3Hz  42Hz   77Hz  108.1dB -760l +  14l  * 1x50mm   2295mm
 25.4Hz  45Hz   79Hz  109.6dB  246l +  14l  * 1x50mm   2045mm
 27.7Hz  48Hz   82Hz  111.1dB   99l +  14l  * 1x50mm   1823mm
 30.2Hz  50Hz   84Hz  112.6dB   59l +  14l  * 1x50mm   1625mm
 32.8Hz  53Hz   87Hz  114.1dB   41l +  14l  * 1x50mm   1448mm
 35.7Hz  57Hz   89Hz  115.5dB   30l +  14l  * 1x50mm   1291mm
 38.7Hz  60Hz   93Hz  116.9dB   23l +  14l  * 1x50mm   1150mm
 42.0Hz  63Hz   96Hz  118.3dB   19l +  14l  * 1x50mm   1025mm
 45.4Hz  66Hz   99Hz  119.7dB   17l +  14l  * 1x50mm    960mm
 49.1Hz  71Hz  103Hz  121.1dB   13l +  14l  * 1x50mm    814mm
 53.1Hz  75Hz  107Hz  122.4dB   11l +  14l  * 1x50mm    726mm
 57.3Hz  80Hz  111Hz  123.8dB    9l +  14l  * 1x50mm    647mm
 61.8Hz  85Hz  116Hz  125.1dB    8l +  14l  * 1x50mm    576mm
 16.2Hz  39Hz   70Hz  101.8dB -132l +  11l  * 1x50mm   3637mm
 17.8Hz  42Hz   72Hz  103.4dB -343l +  11l  * 1x50mm   3241mm
 19.5Hz  44Hz   73Hz  105.0dB  440l +  11l  * 1x50mm   2889mm
 21.3Hz  47Hz   75Hz  106.6dB  124l +  11l  * 1x50mm   2575mm
 23.3Hz  49Hz   77Hz  108.1dB   68l +  11l  * 1x50mm   2295mm
 25.4Hz  52Hz   79Hz  109.6dB   46l +  11l  * 1x50mm   2045mm
 27.7Hz  55Hz   82Hz  111.1dB   33l +  11l  * 1x50mm   1823mm
 30.2Hz  59Hz   84Hz  112.6dB   25l +  11l  * 1x50mm   1625mm
 32.8Hz  62Hz   87Hz  114.1dB   20l +  11l  * 1x50mm   1448mm
 35.7Hz  66Hz   89Hz  115.5dB   16l +  11l  * 1x50mm   1291mm
 38.7Hz  70Hz   93Hz  116.9dB   13l +  11l  * 1x50mm   1150mm
 42.0Hz  63Hz   96Hz  118.3dB   19l +  11l  * 1x50mm   1395mm
 45.4Hz  66Hz   99Hz  119.7dB   17l +  11l  * 1x50mm   1307mm
 49.1Hz  71Hz  103Hz  121.1dB   13l +  11l  * 1x50mm   1108mm
 45.6Hz  75Hz  107Hz  119.8dB   11l +  11l  * 1x50mm    988mm
 49.8Hz  80Hz  111Hz  121.3dB    9l +  11l  * 1x50mm    880mm
 61.8Hz  85Hz  116Hz  125.1dB    8l +  11l  * 1x50mm    785mm
 19.4Hz  47Hz  114Hz  105.0dB  109l +   7l  * 1x50mm   3637mm
 21.4Hz  50Hz  116Hz  106.7dB   63l +   7l  * 1x50mm   3242mm
 23.6Hz  53Hz  119Hz  108.3dB   43l +   7l  * 1x50mm   2890mm
 25.9Hz  56Hz  121Hz  110.0dB   32l +   7l  * 1x50mm   2575mm
 28.5Hz  59Hz  123Hz  111.6dB   24l +   7l  * 1x50mm   2295mm
 31.3Hz  63Hz  126Hz  113.2dB   19l +   7l  * 1x50mm   2045mm
 34.3Hz  67Hz  129Hz  114.8dB   16l +   7l  * 1x50mm   1823mm
 37.5Hz  71Hz  132Hz  116.4dB   13l +   7l  * 1x50mm   1625mm
 41.0Hz  75Hz  136Hz  118.0dB   11l +   7l  * 1x50mm   1448mm
 44.8Hz  79Hz  140Hz  119.5dB    9l +   7l  * 1x50mm   1290mm
 48.8Hz  84Hz  144Hz  121.0dB    8l +   7l  * 1x50mm   1150mm
 53.2Hz  89Hz  148Hz  122.5dB    7l +   7l  * 1x50mm   1025mm
 57.9Hz  94Hz  153Hz  123.9dB    6l +   7l  * 1x50mm    914mm
 62.9Hz 100Hz  158Hz  125.4dB    5l +   7l  * 1x50mm    814mm
 68.2Hz 105Hz  163Hz  126.8dB    4l +   7l  * 1x50mm    726mm
 73.9Hz 112Hz  169Hz  128.2dB    4l +   7l  * 1x50mm    647mm
