                      fs     mms     qms        rms      rms/sd
blackbass10           32.0  130.0    7.000      3.734    0.01149
blackbass12           29.0  160.0    8.000      3.644    0.00744
blackbass-300         29.0  142.0    3.000      8.625    0.01691
crb10tc               34.0   90.0    5.000      3.845    0.01165
crb12tc               31.0  120.0    7.000      3.339    0.00664
predator10            39.0  120.0    4.000      7.351    0.02162
predator12            33.0  140.0    4.000      7.257    0.60476
sonic10               31.0  190.0    8.000      4.626    0.01337
sonic10mk2            33.0  189.0    7.000      5.598    0.01618
sonic12               27.0  250.0   11.000      3.856    0.00755
sonic15               25.0  310.0   11.000      4.427    0.00533
sp-302c               33.0   62.0    4.000      3.214    0.00605
