                       fs   mms    cms    cms1   cms2   cms     mms2
1020                  75.0   29.0  0.140  0.256  0.155  0.206   17.6 
ntr21-5010jd          30.2  318.9  0.087  0.091  0.087  0.089  306.5 
tf0510               106.0    5.7  0.400  0.506  0.396  0.451    4.5 
tf0818                95.0   17.5  0.170  0.179  0.160  0.170   15.7 
tf1225                63.0   46.5  0.140  0.142  0.137  0.139   45.0 
tf1225cx              71.4   49.7  0.100  0.104  0.100  0.102   47.9 
tf1525                47.0   78.2  0.149  0.153  0.147  0.150   75.0 
ftr18-4080hdx         35.0  199.0  0.100  0.100  0.104  0.102  206.6 
ftr18-4080fd          26.0  172.4  0.220  0.201  0.217  0.209  186.1 
CF18VJD               34.3  259.7  0.083  0.077  0.083  0.080  280.9 
FTR08-2011D           88.4   26.9  0.000  0.126  0.120  0.123   25.8 
