                       fs    mms    cms    sag    pct
1020                  75.0   29.0  0.140  0.040  2.0% OK
ntr21-5010jd          30.0  318.9  0.087  0.272  3.0% OK
tf0510               106.0    5.7  0.400  0.022  1.9% OK
tf0818                95.0   17.5  0.170  0.029  0.8% OK
tf1225                63.0   46.5  0.140  0.064  2.6% OK
tf1225cx              71.0   49.7  0.100  0.049  1.9% OK
tf1525                47.0   78.2  0.149  0.114  4.6% OK
ftr18-4080hdx         35.0  199.0  0.100  0.195  2.4% OK
ftr18-4080fd          26.0  172.4  0.220  0.372  6.2% Not OK
CF18VJD               34.0  259.7  0.083  0.211  2.3% OK
FTR08-2011D           88.0   26.9  0.000  0.000  0.0% OK
