                       fs   mms    cms    cms1   cms2   cms     mms2
CS330                 40.0  186.0  0.090  0.092  0.085  0.088  172.8 
CS392                 37.0  229.0  0.079  0.069  0.081  0.075  269.4 
CS393                 35.0  239.0  0.090  0.076  0.087  0.081  270.9 
CS450                 34.8  384.0  0.050  0.044  0.054  0.049  474.3 
CSW4000               30.7  350.0  0.078  0.067  0.077  0.072  404.1 
CW330                 40.0  179.0  0.090  0.092  0.088  0.090  172.8 
HW202                 30.0   21.0  1.30   1.26   1.34   1.30    22.4 
HW203                 37.0   21.4  0.860  0.838  0.865  0.851   22.1 
HX132                 87.0    0.0  0.000  1.56   0.000  0.779    2.1 
HW321                 27.0   67.0  0.520  0.502  0.519  0.510   69.2 
