                       fs   mms    cms    cms1   cms2   cms     mms2
6/90 PCD  	          213.0    6.5  0.085  0.084  0.086  0.085    6.7 
6/100 PCD 	          138.0    6.3  0.200  0.244  0.211  0.227    5.5 
8/100 SD 	           141.0    8.5  0.150  0.153  0.150  0.151    8.3 
8/150 SD 	            89.0    9.6  0.330  0.344  0.333  0.338    9.3 
8/250 PCD 	           97.0   12.3  0.220  0.216  0.219  0.218   12.4 
10/100 SD 	           68.0   20.0  0.280  0.305  0.274  0.290   17.9 
10/150 SD 	           81.0   15.7  0.240  0.251  0.246  0.249   15.4 
10/150 HF-SD 	        42.0   19.2  0.780  0.803  0.748  0.776   17.9 
10/200 SD 	           65.0   17.2  0.350  0.362  0.349  0.355   16.6 
10/250 HF-AL 	        42.0   20.0  0.690  0.718  0.718  0.718   20.0 
10/300 LC 	           61.0   23.8  0.290  0.300  0.286  0.293   22.7 
12/150 SD 	           61.0   19.0  0.360  0.376  0.358  0.367   18.1 
12/200 SD 	           60.0   28.0  0.250  0.222  0.251  0.237   31.7 
12/250 SD 	           46.0   25.0  0.470  0.478  0.479  0.478   25.1 
12/300 LC 	           42.0   33.0  0.480  0.454  0.435  0.445   31.6 
15/200 SD 	           59.0   39.0  0.190  0.190  0.187  0.188   38.2 
15/150+150 SD 	       38.0   57.0  0.300  0.305  0.308  0.306   57.5 
15/250+250 	          35.0   42.0  0.490  0.502  0.492  0.497   41.2 
15/300 SD 	           41.0   62.0  0.240  0.251  0.243  0.247   60.1 
15/400 LC 	           41.0   56.0  0.260  0.270  0.269  0.269   55.9 
15/400+400 	          45.0   77.0  0.170  0.170  0.162  0.166   73.4 
15 XR 600 	           52.0   69.0  0.130  0.133  0.136  0.135   70.2 
15 XR 800 	           47.0   97.0  0.120  0.124  0.118  0.121   92.5 
18/300+300 	          40.0   73.0  0.210  0.221  0.217  0.219   71.6 
18/400+400 	          40.0   68.0  0.220  0.228  0.233  0.231   69.3 
18 XR 600 	           49.0   77.0  0.130  0.137  0.137  0.137   77.0 
18 XR 800 	           55.0   84.0  0.100  0.101  0.100  0.101   82.6 
