                      fs     mms     qms        rms      rms/sd
6/90 PCD  	          213.0    6.0   14.000      0.574    0.00401
6/100 PCD 	          138.0    6.0   11.000      0.473    0.00331
8/100 SD 	           141.0    8.0    1.000      7.087    0.02953
8/150 SD 	            89.0    9.0    2.000      2.516    0.01049
8/250 PCD 	           97.0   12.0    2.000      3.657    0.01524
10/100 SD 	           68.0   20.0    6.000      1.424    0.00407
10/150 SD 	           81.0   15.0    5.000      1.527    0.00436
10/150 HF-SD 	        42.0   19.0   12.000      0.418    0.00116
10/200 SD 	           65.0   17.0    7.000      0.992    0.00276
10/250 HF-AL 	        42.0   20.0    6.000      0.880    0.00251
10/300 LC 	           61.0   23.0    4.000      2.204    0.00580
12/150 SD 	           61.0   19.0    8.000      0.910    0.00172
12/200 SD 	           60.0   28.0    2.000      5.278    0.00996
12/250 SD 	           46.0   25.0    5.000      1.445    0.00273
12/300 LC 	           42.0   33.0    7.000      1.244    0.00235
15/200 SD 	           59.0   39.0    2.000      7.229    0.00821
15/150+150 SD 	       38.0   57.0    7.000      1.944    0.00221
15/250+250 	          35.0   42.0    6.000      1.539    0.00175
15/300 SD 	           41.0   62.0    4.000      3.993    0.00454
15/400 LC 	           41.0   56.0    5.000      2.885    0.00328
15/400+400 	          45.0   77.0   12.000      1.814    0.00206
15 XR 600 	           52.0   69.0    4.000      5.636    0.00640
15 XR 800 	           47.0   97.0   10.000      2.865    0.00326
18/300+300 	          40.0   73.0    6.000      3.058    0.00245
18/400+400 	          40.0   68.0    8.000      2.136    0.00171
18 XR 600 	           49.0   77.0    6.000      3.951    0.00316
18 XR 800 	           55.0   84.0    4.000      7.257    0.00563
