-------------
W15D
                    89.0dB           338W
  R||    qts   f3   Spl     SplMech Pmech  SplEle  
   1.0  0.51  30Hz  85.2dB  117.7dB 1788W  110.5dB
   1.5  0.53  28Hz  85.2dB  116.5dB 1344W  110.5dB
   2.2  0.55  27Hz  85.2dB  115.7dB 1120W  110.5dB
   3.3  0.58  26Hz  85.2dB  115.0dB  956W  110.5dB
   4.7  0.62  24Hz  85.2dB  113.5dB  683W  110.5dB
   6.8  0.65  22Hz  85.2dB  112.1dB  492W  110.5dB
  10.0  0.69  22Hz  85.2dB  112.1dB  492W  110.5dB
  15.0  0.73  21Hz  85.2dB  110.9dB  373W  110.5dB
  22.0  0.77  20Hz  85.2dB  110.0dB  303W  110.5dB
  33.0  0.79  20Hz  85.2dB  110.0dB  303W  110.5dB
  47.0  0.82  18Hz  85.2dB  109.1dB  243W  110.5dB
  68.0  0.83  18Hz  85.2dB  109.1dB  243W  110.5dB
 100.0  0.84  18Hz  85.2dB  109.1dB  243W  110.5dB
 150.0  0.85  18Hz  85.2dB  108.5dB  211W  110.5dB
9999.0  0.87  18Hz  85.2dB  108.5dB  211W  110.5dB
