-------------
F180
            90.0dB            30W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.2Hz  41Hz   80Hz   85.0dB  546l +  19l  * 1x40mm   1193mm
 23.2Hz  44Hz   82Hz   86.6dB  196l +  19l  * 1x40mm   1064mm
 25.4Hz  46Hz   84Hz   88.1dB  113l +  19l  * 1x40mm    948mm
 27.7Hz  49Hz   86Hz   89.6dB   77l +  19l  * 1x40mm    845mm
 30.3Hz  52Hz   89Hz   91.1dB   57l +  19l  * 1x40mm    753mm
 33.0Hz  55Hz   92Hz   92.6dB   44l +  19l  * 1x40mm    671mm
 35.8Hz  58Hz   95Hz   94.1dB   35l +  19l  * 1x40mm    598mm
 38.9Hz  62Hz   98Hz   95.5dB   28l +  19l  * 1x40mm    533mm
 42.3Hz  65Hz  101Hz   96.9dB   23l +  19l  - 1x50mm    742mm
 45.8Hz  69Hz  105Hz   98.3dB   20l +  19l  - 1x50mm    662mm
 49.6Hz  72Hz  108Hz   99.7dB   18l +  19l  - 1x50mm    620mm
 53.6Hz  78Hz  112Hz  101.1dB   14l +  19l  - 1x50mm    525mm
 58.0Hz  82Hz  117Hz  102.4dB   12l +  19l  - 1x50mm    468mm
 62.6Hz  87Hz  121Hz  103.8dB   10l +  19l  - 1x50mm    417mm
 67.5Hz  92Hz  126Hz  105.1dB    9l +  19l    1x70mm    729mm
 17.7Hz  43Hz   76Hz   81.8dB  249l +  14l  * 1x40mm   1502mm
 19.4Hz  45Hz   78Hz   83.4dB  132l +  14l  * 1x40mm   1338mm
 21.2Hz  48Hz   80Hz   85.0dB   86l +  14l  * 1x40mm   1193mm
 23.2Hz  51Hz   82Hz   86.6dB   62l +  14l  * 1x40mm   1063mm
 25.4Hz  54Hz   84Hz   88.1dB   47l +  14l  * 1x40mm    948mm
 27.7Hz  57Hz   86Hz   89.6dB   37l +  14l  * 1x40mm    845mm
 30.3Hz  61Hz   89Hz   91.1dB   30l +  14l  * 1x40mm    753mm
 33.0Hz  64Hz   92Hz   92.6dB   25l +  14l  * 1x40mm    671mm
 35.8Hz  68Hz   95Hz   94.1dB   21l +  14l  * 1x40mm    598mm
 38.9Hz  72Hz   98Hz   95.5dB   18l +  14l  * 1x40mm    533mm
 42.3Hz  76Hz  101Hz   96.9dB   15l +  14l  - 1x50mm    742mm
 45.8Hz  69Hz  105Hz   98.3dB   20l +  14l  * 1x40mm    576mm
 49.6Hz  72Hz  108Hz   99.7dB   18l +  14l  * 1x40mm    540mm
 53.6Hz  78Hz  112Hz  101.1dB   14l +  14l  - 1x50mm    715mm
 49.8Hz  82Hz  117Hz   99.8dB   12l +  14l  - 1x50mm    637mm
 54.4Hz  87Hz  121Hz  101.3dB   10l +  14l  - 1x50mm    568mm
 67.5Hz  92Hz  126Hz  105.1dB    9l +  14l  - 1x50mm    506mm
 21.2Hz  51Hz  125Hz   85.0dB   59l +   9l  * 1x40mm   1502mm
 23.4Hz  54Hz  127Hz   86.7dB   46l +   9l  * 1x40mm   1339mm
 25.7Hz  58Hz  129Hz   88.3dB   36l +   9l  * 1x40mm   1193mm
 28.3Hz  61Hz  132Hz   90.0dB   29l +   9l  * 1x40mm   1063mm
 31.1Hz  65Hz  135Hz   91.6dB   24l +   9l  * 1x40mm    948mm
 34.1Hz  69Hz  138Hz   93.2dB   20l +   9l  * 1x40mm    845mm
 37.4Hz  73Hz  141Hz   94.8dB   17l +   9l  * 1x40mm    753mm
 41.0Hz  77Hz  145Hz   96.4dB   15l +   9l  * 1x40mm    671mm
 44.8Hz  82Hz  148Hz   97.9dB   12l +   9l  * 1x40mm    598mm
 48.9Hz  86Hz  153Hz   99.5dB   11l +   9l  * 1x40mm    533mm
 53.3Hz  91Hz  157Hz  101.0dB    9l +   9l  - 1x50mm    742mm
