-------------
da175-8
            86.0dB            50W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.0Hz  37Hz   78Hz   82.4dB  265l +   7l  * 1x40mm   3653mm
 19.7Hz  40Hz   79Hz   84.0dB   97l +   7l  * 1x40mm   3256mm
 21.6Hz  42Hz   81Hz   85.6dB   56l +   7l  * 1x40mm   2902mm
 23.6Hz  44Hz   83Hz   87.2dB   39l +   7l  * 1x40mm   2587mm
 25.8Hz  47Hz   86Hz   88.7dB   28l +   7l  * 1x40mm   2305mm
 28.2Hz  50Hz   88Hz   90.2dB   22l +   7l  * 1x40mm   2054mm
 30.8Hz  53Hz   90Hz   91.7dB   17l +   7l  * 1x40mm   1831mm
 33.5Hz  56Hz   93Hz   93.2dB   14l +   7l  * 1x40mm   1632mm
 36.4Hz  59Hz   96Hz   94.7dB   12l +   7l  * 1x40mm   1454mm
 39.6Hz  63Hz   99Hz   96.1dB   10l +   7l  * 1x40mm   1296mm
 42.9Hz  66Hz  103Hz   97.5dB    8l +   7l  * 1x40mm   1155mm
 46.5Hz  70Hz  106Hz   98.9dB    7l +   7l  * 1x40mm   1030mm
 50.4Hz  73Hz  110Hz  100.3dB    7l +   7l  * 1x40mm    964mm
 54.5Hz  79Hz  114Hz  101.7dB    5l +   7l  * 1x40mm    818mm
 58.9Hz  84Hz  119Hz  103.0dB    5l +   7l  * 1x40mm    729mm
 63.6Hz  89Hz  123Hz  104.4dB    4l +   7l  * 1x40mm    650mm
 68.6Hz  94Hz  128Hz  105.7dB    3l +   7l  * 1x40mm    579mm
 18.0Hz  44Hz   78Hz   82.4dB   43l +   5l  * 1x40mm   3653mm
 19.7Hz  46Hz   79Hz   84.0dB   31l +   5l  * 1x40mm   3256mm
 21.6Hz  49Hz   81Hz   85.6dB   24l +   5l  * 1x40mm   2902mm
 23.6Hz  52Hz   83Hz   87.2dB   19l +   5l  * 1x40mm   2587mm
 25.8Hz  55Hz   86Hz   88.7dB   15l +   5l  * 1x40mm   2305mm
 28.2Hz  58Hz   88Hz   90.2dB   12l +   5l  * 1x40mm   2054mm
 30.8Hz  62Hz   90Hz   91.7dB   10l +   5l  * 1x40mm   1831mm
 33.5Hz  65Hz   93Hz   93.2dB    9l +   5l  * 1x40mm   1632mm
 36.4Hz  69Hz   96Hz   94.7dB    7l +   5l  * 1x40mm   1455mm
 39.6Hz  73Hz   99Hz   96.1dB    6l +   5l  * 1x40mm   1296mm
 42.9Hz  77Hz  103Hz   97.5dB    6l +   5l  * 1x40mm   1155mm
 46.5Hz  70Hz  106Hz   98.9dB    7l +   5l  * 1x40mm   1402mm
 50.4Hz  73Hz  110Hz  100.3dB    7l +   5l  * 1x40mm   1313mm
 54.5Hz  79Hz  114Hz  101.7dB    5l +   5l  * 1x40mm   1113mm
 50.6Hz  84Hz  119Hz  100.4dB    5l +   5l  * 1x40mm    992mm
 55.3Hz  89Hz  123Hz  101.9dB    4l +   5l  * 1x40mm    884mm
 68.6Hz  94Hz  128Hz  105.7dB    3l +   5l  * 1x40mm    788mm
 21.5Hz  52Hz  127Hz   85.6dB   18l +   4l  * 1x40mm   3653mm
