                       fs    mms    cms    sag    pct
da175-8               36.0   22.5  0.868  0.192  4.5% OK
da175-8               39.0   25.2  0.660  0.163  3.8% OK
dcs205-4              30.0   52.5  0.530  0.273  3.1% OK
dcs255-4              30.0   93.4  0.280  0.257  3.1% OK
dcs305-4              22.0  145.0  0.330  0.469  5.0% Not OK
dcs380-4              22.0  195.0  0.250  0.478  5.7% Not OK
dvc310-88             22.0  160.0  0.330  0.518  3.5% OK
nd90-8                80.0    4.7  0.790  0.036  0.9% OK
nd140-4               53.0    9.0  0.970  0.086  2.1% OK
pa465s-8              29.0  225.1  0.130  0.287  5.7% Not OK
ps180-8               48.0    7.2  1.52   0.107  2.3% OK
ps220-8               45.0   10.6  1.15   0.120  2.5% OK
rs125-8               72.0    5.2  0.940  0.048  1.7% OK
rs150s-8              49.0    7.0  1.50   0.103  2.6% OK
rs180-8               42.0   14.9  0.950  0.139  2.3% OK
rs225-8               27.0   33.8  0.990  0.328  4.7% OK
rs270-8               24.0   57.1  0.720  0.403  6.1% Not OK
rs315hf-4             25.0  212.1  0.270  0.562  3.9% OK
rs315hfa-8            27.0  158.0  0.210  0.325  2.6% OK
rss210hf4             28.0   66.0  0.480  0.311  3.5% OK
rss265hf-4            26.0  145.9  0.250  0.358  2.6% OK
rss460ho-4            19.0  425.0  0.150  0.625  4.9% OK
sd215-88              28.0   42.0  0.001  0.000  0.0% OK
sd215a-88             31.0   42.4  0.620  0.258  4.3% OK
sd270-88              25.0   57.0  0.670  0.375  6.2% Not OK
sd270a-88             29.0   46.8  0.620  0.285  4.7% OK
sd315a-88             26.0  109.0  0.320  0.342  4.9% OK
st315-88              25.0   87.0  0.450  0.384  5.5% Not OK
st385-8               19.0  267.0  0.000  0.001  0.0% OK
st385-88              20.0  197.0  0.310  0.599  4.0% OK
um10-22               26.0  160.4  0.230  0.362  1.9% OK
um12-22               24.0  193.2  0.210  0.398  2.1% OK
um15-22               19.0  279.4  0.240  0.658  3.5% OK
um18-22               19.0  655.0  0.100  0.643  2.9% OK
