                      fs     mms     qms        rms      rms/sd
dcs305-4              22.0  145.0    5.000      4.009    0.00805
dvc310-88             22.0  160.0   13.000      1.701    0.00334
rs125-8               72.0    5.0    2.000      1.131    0.01257
rs315hfa-8            27.0  158.0    3.000      8.935    0.01766
sd215-88              28.0   42.0    3.000      2.463    0.01232
sd270-88              25.0   57.0    3.000      2.985    0.00878
sd315a-88             26.0  109.0    3.000      5.936    0.01137
st315-88              25.0   87.0    4.000      3.416    0.00712
st385-8               19.0  267.0   10.000      3.187    0.00371
st385-88              20.0  197.0   12.000      2.063    0.00255
