                       fs    mms    cms    sag    pct
Beta 8cx              63.0   18.3  0.320  0.057  3.6% OK
Beta 10cx             49.0   27.0  0.390  0.103  4.1% OK
Beta 12cx             47.0   34.0  0.400  0.133  7.8% Not OK
Kappa15LFA            39.0  105.0  0.150  0.155  2.8% OK
OmegaPro18C           23.0  137.0  0.340  0.457  9.5% Not OK
Kilomax PRO 18A       33.0  186.0  0.130  0.237  0.2% OK
Sigma Pro 18-2        28.0  130.0  0.240  0.306  5.1% Not OK
LAB12                 22.0  146.0  0.350  0.501  3.9% OK
LAB15                 28.0  308.0  0.110  0.332  2.8% OK
Deltalite II 2515     42.0   72.0  0.200  0.141  2.9% OK
