-------------
11-581/50
            91.0dB           150W      1x100mm
   fu     fc      fo      SplMech  Vb1     Vb2       d         l        C
  7.4 Hz  21 Hz   60 Hz   77.3 dB   oo l +  28 l  * 1x50mm    442 mm  4323 µF
  8.0 Hz  22 Hz   62 Hz   78.8 dB 1316 l +  28 l  - 1x70mm    790 mm  3873 µF
  9.0 Hz  24 Hz   64 Hz   80.8 dB  500 l +  28 l  - 1x70mm    667 mm  3310 µF
 10.0 Hz  26 Hz   66 Hz   82.6 dB  304 l +  28 l  - 1x70mm    572 mm  2876 µF
 11.0 Hz  27 Hz   68 Hz   84.3 dB  216 l +  28 l  - 1x70mm    497 mm  2533 µF
 12.0 Hz  29 Hz   70 Hz   85.8 dB  167 l +  28 l  - 1x70mm    437 mm  2256 µF
 13.0 Hz  31 Hz   72 Hz   87.2 dB  135 l +  28 l  - 1x70mm    387 mm  2027 µF
 14.0 Hz  32 Hz   74 Hz   88.5 dB  113 l +  28 l    1x100mm   738 mm  1837 µF
 15.0 Hz  34 Hz   76 Hz   89.7 dB   97 l +  28 l    1x100mm   667 mm  1675 µF
 16.0 Hz  35 Hz   78 Hz   90.8 dB   84 l +  28 l    1x100mm   605 mm  1537 µF
 17.0 Hz  37 Hz   79 Hz   91.9 dB   75 l +  28 l    1x100mm   552 mm  1418 µF
 18.0 Hz  38 Hz   81 Hz   92.8 dB   67 l +  28 l    1x100mm   505 mm  1314 µF
 19.0 Hz  39 Hz   82 Hz   93.8 dB   60 l +  28 l    1x100mm   465 mm  1222 µF
 20.0 Hz  41 Hz   84 Hz   94.7 dB   55 l +  28 l    1x100mm   429 mm  1142 µF
 21.0 Hz  42 Hz   85 Hz   95.5 dB   50 l +  28 l    1x100mm   397 mm  1070 µF
 22.0 Hz  44 Hz   86 Hz   96.3 dB   46 l +  28 l    1x100mm   368 mm  1005 µF
 23.0 Hz  45 Hz   87 Hz   97.1 dB   43 l +  28 l    1x100mm   342 mm   947 µF
 24.0 Hz  46 Hz   89 Hz   97.8 dB   40 l +  28 l    1x100mm   319 mm   895 µF
 25.0 Hz  47 Hz   90 Hz   98.6 dB   37 l +  28 l    1x100mm   298 mm   848 µF
 26.0 Hz  49 Hz   91 Hz   99.2 dB   35 l +  28 l    1x100mm   279 mm   805 µF
 27.0 Hz  50 Hz   92 Hz   99.9 dB   33 l +  28 l    1x100mm   261 mm   765 µF
 28.0 Hz  51 Hz   93 Hz  100.5 dB   31 l +  28 l    1x100mm   245 mm   729 µF
 29.0 Hz  52 Hz   95 Hz  101.1 dB   29 l +  28 l    1x100mm   230 mm   696 µF
 30.0 Hz  54 Hz   96 Hz  101.7 dB   28 l +  28 l    1x100mm   216 mm   665 µF

