                       fs   mms    cms    cms1   cms2   cms     mms2
11-581/50             21.0   67.0  0.000  0.837  0.857  0.847   68.6 
12-680/62             23.0  107.0  0.460  0.478  0.448  0.463  100.1 
4-300/25              61.0    0.0  0.000  1.16   0.000  0.582    5.9 
4-300/25s             56.0    0.0  0.000  1.58   0.000  0.788    5.1 
5-302/C8/25           50.0    9.0  1.03   1.03   1.13   1.08     9.8 
5-880/25              52.0    0.0  0.000  0.949  0.000  0.474    9.9 
7-202/C8/32HEX        39.0   16.2  1.000  1.03   1.03   1.03    16.2 
7-302/C8/32HEX        40.0   17.7  0.950  0.976  0.894  0.935   16.2 
7-360/37              43.0    0.0  0.000  0.781  0.000  0.391   17.5 
7-372/32              32.0    0.0  0.000  1.72   0.000  0.859   14.4 
7-375/32              38.0    0.0  0.000  1.02   0.000  0.508   17.3 
8-472/32              24.0    0.0  0.000  1.83   0.000  0.917   24.0 
8-800/37              36.0    0.0  0.000  0.597  0.000  0.299   32.7 
