                       fs   mms    cms    cms1   cms2   cms     mms2
c16n001/f             37.0   14.6  1.30   1.24   1.27   1.26    14.9 
c16n001/f             42.6   14.6  0.960  0.983  0.956  0.969   14.2 
m15ch002              67.0    6.8  0.830  0.782  0.830  0.806    7.2 
w11cy001              65.0    5.5  1.10   2.20   1.09   1.64     2.7 
w11cy002              46.0    7.2  1.70   1.70   1.66   1.68     7.0 
w12cy001              46.0    7.0  1.70   1.70   1.71   1.71     7.0 
w12cy003              60.0    6.1  1.20   1.17   1.15   1.16     6.0 
w14cy001              43.0    9.6  1.40   1.43   1.43   1.43     9.6 
w15ch001              38.0    9.5  1.80   1.82   1.85   1.84     9.6 
w15cy001              38.0    9.5  1.80   1.82   1.85   1.84     9.6 
w15ly001              49.0    6.3  1.70   1.56   1.67   1.62     6.7 
w17e002               34.0   15.0  1.50   1.34   1.46   1.40    16.4 
w17ex001              37.0   15.0  1.20   1.17   1.23   1.20    15.8 
w18e001               34.0   15.0  1.50   1.39   1.46   1.42    15.8 
w18e001tv             31.0   15.0  1.80   1.71   1.76   1.73    15.4 
w18ex001              31.0   15.0  1.80   1.71   1.76   1.73    15.4 
w18nx001              40.0   14.0  1.10   1.11   1.13   1.12    14.3 
w21e002               29.0   28.0  1.10   1.05   1.08   1.06    28.8 
w21e002-4             33.0   26.0  0.890  1.05   0.895  0.970   22.3 
w21ex002              28.0   29.0  1.10   1.05   1.11   1.08    30.9 
w22ex001              25.0   26.0  1.60   1.48   1.56   1.52    27.3 
w22ny001              35.0   18.0  1.17   1.20   1.15   1.17    17.2 
w26fx001              20.0   56.0  1.10   1.08   1.13   1.11    58.4 
w26fx002              31.0   42.0  0.630  0.586  0.628  0.607   45.0 
