                       fs    mms    cms    sag    pct
c16n001/f             37.0   14.6  1.30   0.186  2.7% OK
c16n001/f             42.0   14.6  0.960  0.137  2.0% OK
m15ch002              67.0    6.8  0.830  0.055  1.8% OK
w11cy001              65.0    5.5  1.10   0.059  2.0% OK
w11cy002              46.0    7.2  1.70   0.120  4.0% OK
w12cy001              46.0    7.0  1.70   0.117  3.9% OK
w12cy003              60.0    6.1  1.20   0.072  2.4% OK
w14cy001              43.0    9.6  1.40   0.132  4.4% OK
w15ch001              38.0    9.5  1.80   0.168  4.2% OK
w15cy001              38.0    9.5  1.80   0.168  4.2% OK
w15ly001              49.0    6.3  1.70   0.105  2.1% OK
w17e002               34.0   15.0  1.50   0.221  5.5% Not OK
w17ex001              37.0   15.0  1.20   0.177  4.4% OK
w18e001               34.0   15.0  1.50   0.221  4.4% OK
w18e001tv             31.0   15.0  1.80   0.265  5.3% Not OK
w18ex001              31.0   15.0  1.80   0.265  5.3% Not OK
w18nx001              40.0   14.0  1.10   0.151  2.2% OK
w21e002               29.0   28.0  1.10   0.302  7.6% Not OK
w21e002-4             33.0   26.0  0.890  0.227  5.7% Not OK
w21ex002              28.0   29.0  1.10   0.313  6.3% Not OK
w22ex001              25.0   26.0  1.60   0.408  8.2% Not OK
w22ny001              35.0   18.0  1.17   0.207  5.2% Not OK
w26fx001              20.0   56.0  1.10   0.604  8.6% Not OK
w26fx002              31.0   42.0  0.630  0.260  3.7% OK
