                      fs     mms     qms        rms      rms/sd
c16n001/f             42.0   14.0    3.000      1.232    0.01296
w12cy001              46.0    7.0    2.000      1.012    0.02023
w17e002               34.0   15.0    2.000      1.602    0.01272
w17ex001              37.0   15.0    3.000      1.162    0.00894
w18e001               34.0   15.0    2.000      1.602    0.01272
w18e001tv             31.0   15.0    2.000      1.461    0.01159
w18ex001              31.0   15.0    2.000      1.461    0.01159
w18nx001              40.0   14.0    2.000      1.759    0.01396
w21e002               29.0   28.0    3.000      1.701    0.00773
w21e002-4             33.0   26.0    4.000      1.348    0.00613
w21ex002              28.0   29.0    2.000      2.551    0.01160
w22ex001              25.0   26.0    2.000      2.042    0.00928
w26fx001              20.0   56.0    2.000      3.519    0.01066
w26fx002              31.0   42.0    2.000      4.090    0.01240
