-------------
SHX-8S4
            86.7dB           200W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.3Hz  43Hz   86Hz   93.7dB  264l +   8l  * 1x40mm   2437mm
 23.4Hz  45Hz   88Hz   95.3dB   97l +   8l  * 1x40mm   2172mm
 25.6Hz  48Hz   90Hz   96.9dB   57l +   8l  * 1x40mm   1936mm
 28.0Hz  51Hz   93Hz   98.5dB   39l +   8l  * 1x40mm   1725mm
 30.6Hz  54Hz   95Hz  100.0dB   29l +   8l  * 1x40mm   1538mm
 33.3Hz  57Hz   98Hz  101.5dB   22l +   8l  * 1x40mm   1371mm
 36.3Hz  61Hz  101Hz  103.0dB   18l +   8l  * 1x40mm   1222mm
 39.5Hz  64Hz  104Hz  104.4dB   14l +   8l  * 1x40mm   1089mm
 42.9Hz  68Hz  108Hz  105.9dB   12l +   8l  * 1x40mm    970mm
 46.5Hz  72Hz  111Hz  107.3dB   10l +   8l  * 1x40mm    865mm
 50.4Hz  76Hz  115Hz  108.7dB    8l +   8l  * 1x40mm    771mm
 54.6Hz  79Hz  119Hz  110.1dB    8l +   8l  * 1x40mm    722mm
 59.1Hz  86Hz  124Hz  111.4dB    6l +   8l  * 1x40mm    612mm
 63.8Hz  91Hz  129Hz  112.8dB    5l +   8l  * 1x40mm    546mm
 68.9Hz  96Hz  134Hz  114.1dB    5l +   8l  - 1x50mm    760mm
 74.3Hz 102Hz  139Hz  115.4dB    4l +   8l  - 1x50mm    677mm
 19.5Hz  47Hz   84Hz   92.1dB   66l +   6l  * 1x40mm   2735mm
 21.3Hz  50Hz   86Hz   93.7dB   44l +   6l  * 1x40mm   2437mm
 23.4Hz  53Hz   88Hz   95.3dB   31l +   6l  * 1x40mm   2172mm
 25.6Hz  56Hz   90Hz   96.9dB   24l +   6l  * 1x40mm   1936mm
 28.0Hz  59Hz   93Hz   98.5dB   19l +   6l  * 1x40mm   1726mm
 30.6Hz  63Hz   95Hz  100.0dB   15l +   6l  * 1x40mm   1538mm
 33.3Hz  67Hz   98Hz  101.5dB   13l +   6l  * 1x40mm   1371mm
 36.3Hz  71Hz  101Hz  103.0dB   11l +   6l  * 1x40mm   1222mm
 39.5Hz  75Hz  104Hz  104.4dB    9l +   6l  * 1x40mm   1089mm
 42.9Hz  79Hz  108Hz  105.9dB    8l +   6l  * 1x40mm    970mm
 46.5Hz  84Hz  111Hz  107.3dB    6l +   6l  * 1x40mm    865mm
 50.4Hz  76Hz  115Hz  108.7dB    8l +   6l  * 1x40mm   1049mm
 54.6Hz  79Hz  119Hz  110.1dB    8l +   6l  * 1x40mm    983mm
 59.1Hz  86Hz  124Hz  111.4dB    6l +   6l  * 1x40mm    833mm
 54.9Hz  91Hz  129Hz  110.1dB    5l +   6l  * 1x40mm    743mm
 59.9Hz  96Hz  134Hz  111.7dB    5l +   6l  * 1x40mm    662mm
 74.3Hz 102Hz  139Hz  115.4dB    4l +   6l  * 1x40mm    590mm
 23.3Hz  57Hz  137Hz   95.3dB   23l +   4l  * 1x40mm   2734mm
 25.7Hz  60Hz  140Hz   97.0dB   18l +   4l  * 1x40mm   2438mm
 28.4Hz  64Hz  142Hz   98.7dB   15l +   4l  * 1x40mm   2173mm
 31.2Hz  67Hz  145Hz  100.3dB   12l +   4l  * 1x40mm   1936mm
 34.3Hz  71Hz  148Hz  102.0dB   10l +   4l  * 1x40mm   1726mm
 37.6Hz  76Hz  152Hz  103.6dB    9l +   4l  * 1x40mm   1538mm
 41.2Hz  80Hz  155Hz  105.2dB    7l +   4l  * 1x40mm   1371mm
 45.1Hz  85Hz  159Hz  106.7dB    6l +   4l  * 1x40mm   1222mm
 49.3Hz  90Hz  163Hz  108.3dB    5l +   4l  * 1x40mm   1089mm
 53.8Hz  95Hz  168Hz  109.8dB    5l +   4l  * 1x40mm    970mm
 58.7Hz 101Hz  173Hz  111.3dB    4l +   4l  * 1x40mm    865mm
 63.9Hz 107Hz  178Hz  112.8dB    4l +   4l  * 1x40mm    771mm
 69.6Hz 113Hz  184Hz  114.3dB    3l +   4l  * 1x40mm    687mm
 75.6Hz 120Hz  190Hz  115.7dB    3l +   4l  * 1x40mm    612mm
 82.0Hz 127Hz  196Hz  117.1dB    2l +   4l  * 1x40mm    546mm
-------------
