-------------
IB 18
            89.4dB           600W      3x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.3Hz  23Hz   38Hz  108.8dB 10737l + 368l  * 1x100mm  1179mm
 15.6Hz  25Hz   39Hz  110.3dB 2355l + 368l  * 1x100mm  1051mm
 16.9Hz  26Hz   40Hz  111.7dB 1256l + 368l  * 1x100mm   937mm
 18.3Hz  28Hz   42Hz  113.1dB  824l + 368l  * 1x100mm   835mm
 19.8Hz  29Hz   43Hz  114.5dB  678l + 368l  * 1x100mm   782mm
 21.5Hz  31Hz   45Hz  115.8dB  453l + 368l  * 1x100mm   663mm
 23.2Hz  33Hz   47Hz  117.2dB  357l + 368l  * 1x100mm   591mm
 25.0Hz  35Hz   49Hz  118.5dB  289l + 368l  * 1x100mm   527mm
 27.0Hz  37Hz   51Hz  119.8dB  238l + 368l  * 1x100mm   469mm
 12.1Hz  24Hz   36Hz  105.9dB 3189l + 270l  * 1x100mm  1485mm
 13.2Hz  26Hz   37Hz  107.4dB 1488l + 270l  * 1x100mm  1323mm
 14.3Hz  27Hz   38Hz  108.8dB  931l + 270l  * 1x100mm  1179mm
 15.6Hz  29Hz   39Hz  110.3dB  655l + 270l  * 1x100mm  1051mm
 16.9Hz  31Hz   40Hz  111.7dB  492l + 270l  * 1x100mm   937mm
 18.3Hz  28Hz   42Hz  113.1dB  824l + 270l  * 1x100mm  1136mm
 19.8Hz  29Hz   43Hz  114.5dB  678l + 270l  * 1x100mm  1064mm
 21.5Hz  31Hz   45Hz  115.8dB  453l + 270l  * 1x100mm   903mm
 19.9Hz  33Hz   47Hz  114.5dB  357l + 270l  * 1x100mm   804mm
 21.8Hz  35Hz   49Hz  116.1dB  289l + 270l  * 1x100mm   717mm
 27.0Hz  37Hz   51Hz  119.8dB  238l + 270l  * 1x100mm   639mm
 10.3Hz  23Hz   52Hz  103.1dB 22395l + 188l  * 1x100mm  2353mm
 11.3Hz  24Hz   53Hz  104.7dB 2697l + 188l  * 1x100mm  2097mm
 12.5Hz  26Hz   54Hz  106.4dB 1359l + 188l  * 1x100mm  1869mm
 13.7Hz  27Hz   55Hz  108.0dB  872l + 188l  * 1x100mm  1666mm
 15.0Hz  29Hz   56Hz  109.6dB  622l + 188l  * 1x100mm  1484mm
 16.4Hz  31Hz   58Hz  111.1dB  471l + 188l  * 1x100mm  1323mm
 17.9Hz  33Hz   59Hz  112.7dB  370l + 188l  * 1x100mm  1179mm
 19.6Hz  35Hz   61Hz  114.2dB  298l + 188l  * 1x100mm  1051mm
 21.3Hz  37Hz   63Hz  115.7dB  245l + 188l  * 1x100mm   937mm
 23.2Hz  39Hz   65Hz  117.2dB  204l + 188l  * 1x100mm   835mm
 25.3Hz  41Hz   67Hz  118.7dB  172l + 188l  * 1x100mm   744mm
 27.5Hz  44Hz   69Hz  120.1dB  146l + 188l  * 1x100mm   663mm
 29.8Hz  46Hz   71Hz  121.5dB  125l + 188l  * 1x100mm   591mm
 32.3Hz  49Hz   74Hz  122.9dB  108l + 188l  * 1x100mm   527mm
 35.0Hz  52Hz   76Hz  124.3dB   93l + 188l  * 1x100mm   469mm
-------------
IB 15
            90.0dB           250W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 14.8Hz  25Hz   44Hz  103.2dB 3045l + 197l  * 1x70mm    906mm
 16.2Hz  27Hz   45Hz  104.7dB 1218l + 197l  * 1x70mm    807mm
 17.6Hz  29Hz   46Hz  106.2dB  728l + 197l  * 1x70mm    720mm
 19.1Hz  30Hz   48Hz  107.6dB  501l + 197l  * 1x70mm    641mm
