-------------
5W3211B
            87.2dB            50W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 27.5Hz  57Hz  119Hz   84.6dB   26l +   3l  + 1x40mm   3303mm
 30.2Hz  61Hz  122Hz   86.2dB   19l +   3l  + 1x40mm   2944mm
 33.1Hz  64Hz  125Hz   87.8dB   15l +   3l  + 1x40mm   2624mm
 36.2Hz  68Hz  128Hz   89.4dB   12l +   3l  + 1x40mm   2339mm
 39.6Hz  72Hz  131Hz   90.9dB    9l +   3l  + 1x40mm   2084mm
 43.2Hz  76Hz  135Hz   92.4dB    8l +   3l  + 1x40mm   1858mm
 47.1Hz  81Hz  139Hz   94.0dB    7l +   3l  + 1x40mm   1656mm
 51.3Hz  86Hz  143Hz   95.4dB    6l +   3l  + 1x40mm   1476mm
 55.8Hz  91Hz  147Hz   96.9dB    5l +   3l  + 1x40mm   1315mm
 60.7Hz  96Hz  152Hz   98.3dB    4l +   3l  + 1x40mm   1172mm
 65.8Hz 102Hz  157Hz   99.8dB    4l +   3l  + 1x40mm   1045mm
 71.4Hz 108Hz  163Hz  101.2dB    3l +   3l  + 1x40mm    931mm
 77.3Hz 111Hz  169Hz  102.5dB    3l +   3l  + 1x40mm    872mm
 83.6Hz 121Hz  175Hz  103.9dB    2l +   3l  - 1x40mm    740mm
 90.3Hz 128Hz  182Hz  105.2dB    2l +   3l  - 1x40mm    659mm
 97.5Hz 136Hz  189Hz  106.6dB    2l +   3l  - 1x40mm    588mm
105.1Hz 144Hz  197Hz  107.9dB    2l +   3l  - 1x40mm    524mm
 27.5Hz  67Hz  119Hz   84.6dB   13l +   3l  + 1x40mm   3304mm
 30.2Hz  71Hz  122Hz   86.2dB   10l +   3l  + 1x40mm   2944mm
 33.1Hz  75Hz  125Hz   87.8dB    8l +   3l  + 1x40mm   2624mm
 36.2Hz  79Hz  128Hz   89.4dB    7l +   3l  + 1x40mm   2339mm
 39.6Hz  84Hz  131Hz   90.9dB    6l +   3l  + 1x40mm   2085mm
 43.2Hz  89Hz  135Hz   92.4dB    5l +   3l  + 1x40mm   1858mm
 47.1Hz  94Hz  139Hz   94.0dB    4l +   3l  + 1x40mm   1656mm
 51.3Hz 100Hz  143Hz   95.4dB    4l +   3l  + 1x40mm   1476mm
 55.8Hz 106Hz  147Hz   96.9dB    3l +   3l  + 1x40mm   1315mm
 60.7Hz 112Hz  152Hz   98.3dB    3l +   3l  + 1x40mm   1172mm
 65.8Hz 119Hz  157Hz   99.8dB    2l +   3l  + 1x40mm   1045mm
