                       fs   mms    cms    cms1   cms2   cms     mms2
5W3211B               46.6    9.3  1.25   1.31   1.25   1.28     8.9 
6W4311B               52.3   13.1  0.708  0.737  0.709  0.723   12.6 
7W4411                39.5   18.3  0.885  0.913  0.886  0.899   17.8 
11V5552               40.5   98.5  1.71   0.162  0.157  0.160   95.3 
11V7512D              24.5   52.3  0.809  0.835  0.809  0.822   50.7 
11W7670               44.6   85.1  0.000  0.154  0.150  0.152   82.6 
13V7512D              18.9   70.7  1.000  1.04   1.00   1.02    68.5 
13WX                  33.6  108.9  0.208  0.215  0.206  0.210  104.4 
15WX                  24.4  137.5  0.310  0.320  0.309  0.315  133.0 
13W7653               46.0  153.5  0.079  0.081  0.078  0.079  148.6 
