-------------
FW168
      87.3dB                             50W
SplMech  Pmech SplEle     f3

 80.3dB     0W 103.5dB @  16Hz
 82.4dB     0W 103.5dB @  18Hz
 84.2dB     1W 103.5dB @  20Hz
 85.8dB     1W 103.5dB @  22Hz
 87.4dB     1W 103.5dB @  24Hz
 88.7dB     2W 103.5dB @  26Hz
 90.0dB     2W 103.5dB @  28Hz
 91.2dB     3W 103.5dB @  30Hz
 92.4dB     4W 103.5dB @  32Hz
 93.4dB     5W 103.5dB @  34Hz
 94.4dB     6W 103.5dB @  36Hz
 95.3dB     8W 103.5dB @  38Hz
 96.2dB     9W 103.5dB @  40Hz
 97.1dB    11W 103.5dB @  42Hz
 97.9dB    14W 103.5dB @  44Hz
 98.7dB    17W 103.5dB @  46Hz
 99.4dB    20W 103.5dB @  48Hz
-------------
FW146
      86.1dB                             35W
SplMech  Pmech SplEle     f3

 74.5dB     0W 100.2dB @  16Hz
 76.5dB     0W 100.2dB @  18Hz
 78.4dB     0W 100.2dB @  20Hz
 80.0dB     0W 100.2dB @  22Hz
 81.5dB     0W 100.2dB @  24Hz
 82.9dB     1W 100.2dB @  26Hz
 84.2dB     1W 100.2dB @  28Hz
 85.4dB     1W 100.2dB @  30Hz
 86.5dB     2W 100.2dB @  32Hz
 87.6dB     2W 100.2dB @  34Hz
 88.6dB     2W 100.2dB @  36Hz
 89.5dB     3W 100.2dB @  38Hz
 90.4dB     4W 100.2dB @  40Hz
 91.2dB     4W 100.2dB @  42Hz
 92.0dB     5W 100.2dB @  44Hz
 92.8dB     6W 100.2dB @  46Hz
 93.6dB     8W 100.2dB @  48Hz
