-------------
m10
            92.1dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 17.2Hz  36Hz   74Hz   92.0dB  209l +  19l  * 1x50mm   2375mm
 18.9Hz  38Hz   76Hz   93.7dB  137l +  19l  * 1x50mm   2116mm
 20.7Hz  40Hz   78Hz   95.2dB   99l +  19l  * 1x50mm   1886mm
 22.6Hz  42Hz   80Hz   96.8dB   75l +  19l  * 1x50mm   1681mm
 24.7Hz  45Hz   82Hz   98.4dB   60l +  19l  * 1x50mm   1498mm
 27.0Hz  48Hz   84Hz   99.9dB   48l +  19l  * 1x50mm   1335mm
 29.4Hz  50Hz   87Hz  101.4dB   40l +  19l  * 1x50mm   1190mm
 32.1Hz  53Hz   89Hz  102.9dB   33l +  19l  * 1x50mm   1061mm
 34.9Hz  57Hz   92Hz  104.3dB   28l +  19l  * 1x50mm    945mm
 37.9Hz  60Hz   95Hz  105.8dB   24l +  19l  * 1x50mm    843mm
 41.1Hz  64Hz   98Hz  107.2dB   20l +  19l  * 1x50mm    751mm
 44.6Hz  67Hz  102Hz  108.6dB   18l +  19l  * 1x50mm    669mm
 48.3Hz  70Hz  105Hz  110.0dB   16l +  19l  * 1x50mm    627mm
 52.2Hz  76Hz  109Hz  111.3dB   13l +  19l  * 1x50mm    532mm
 56.4Hz  80Hz  114Hz  112.7dB   11l +  19l  * 1x50mm    474mm
 60.9Hz  85Hz  118Hz  114.0dB   10l +  19l  * 1x50mm    422mm
 65.7Hz  90Hz  123Hz  115.3dB    9l +  19l  - 1x70mm    738mm
 17.2Hz  42Hz   74Hz   92.0dB   82l +  14l  * 1x50mm   2375mm
 18.9Hz  44Hz   76Hz   93.7dB   64l +  14l  * 1x50mm   2116mm
 20.7Hz  47Hz   78Hz   95.2dB   51l +  14l  * 1x50mm   1886mm
 22.6Hz  50Hz   80Hz   96.8dB   42l +  14l  * 1x50mm   1681mm
 24.7Hz  53Hz   82Hz   98.4dB   35l +  14l  * 1x50mm   1499mm
 27.0Hz  56Hz   84Hz   99.9dB   29l +  14l  * 1x50mm   1335mm
 29.4Hz  59Hz   87Hz  101.4dB   25l +  14l  * 1x50mm   1190mm
 32.1Hz  62Hz   89Hz  102.9dB   21l +  14l  * 1x50mm   1061mm
 34.9Hz  66Hz   92Hz  104.3dB   18l +  14l  * 1x50mm    945mm
 37.9Hz  70Hz   95Hz  105.8dB   16l +  14l  * 1x50mm    843mm
 41.1Hz  74Hz   98Hz  107.2dB   14l +  14l  * 1x50mm    751mm
 44.6Hz  67Hz  102Hz  108.6dB   18l +  14l  * 1x50mm    911mm
 48.3Hz  70Hz  105Hz  110.0dB   16l +  14l  * 1x50mm    853mm
