-------------
sw-12-04
            88.4dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 15.6Hz  32Hz   67Hz  103.0dB  104l +  24l  * 1x50mm   2380mm
 17.1Hz  34Hz   69Hz  104.6dB   86l +  24l  * 1x50mm   2122mm
 18.8Hz  36Hz   71Hz  106.2dB   71l +  24l  * 1x50mm   1891mm
 20.5Hz  39Hz   72Hz  107.8dB   60l +  24l  * 1x50mm   1686mm
 22.4Hz  41Hz   74Hz  109.3dB   51l +  24l  * 1x50mm   1502mm
 24.5Hz  43Hz   76Hz  110.8dB   44l +  24l  * 1x50mm   1339mm
 26.7Hz  46Hz   79Hz  112.3dB   38l +  24l  * 1x50mm   1193mm
 29.1Hz  49Hz   81Hz  113.8dB   33l +  24l  * 1x50mm   1063mm
 31.6Hz  51Hz   83Hz  115.3dB   28l +  24l  * 1x50mm    948mm
 34.4Hz  54Hz   86Hz  116.7dB   25l +  24l  * 1x50mm    845mm
 37.3Hz  58Hz   89Hz  118.1dB   22l +  24l  * 1x50mm    753mm
 40.4Hz  61Hz   92Hz  119.5dB   19l +  24l  * 1x50mm    671mm
 43.8Hz  63Hz   96Hz  120.9dB   18l +  24l  * 1x50mm    628mm
 47.4Hz  69Hz   99Hz  122.3dB   15l +  24l  * 1x50mm    533mm
 51.2Hz  73Hz  103Hz  123.6dB   13l +  24l  * 1x50mm    475mm
 55.2Hz  77Hz  107Hz  125.0dB   11l +  24l  * 1x50mm    423mm
 59.6Hz  81Hz  111Hz  126.3dB   10l +  24l  - 1x70mm    739mm
 15.6Hz  38Hz   67Hz  103.0dB   64l +  17l  * 1x50mm   2381mm
 17.1Hz  40Hz   69Hz  104.6dB   54l +  17l  * 1x50mm   2121mm
 18.8Hz  42Hz   71Hz  106.2dB   46l +  17l  * 1x50mm   1891mm
 20.5Hz  45Hz   72Hz  107.8dB   40l +  17l  * 1x50mm   1685mm
 22.4Hz  48Hz   74Hz  109.3dB   34l +  17l  * 1x50mm   1502mm
 24.5Hz  50Hz   76Hz  110.8dB   30l +  17l  * 1x50mm   1339mm
 26.7Hz  53Hz   79Hz  112.3dB   26l +  17l  * 1x50mm   1193mm
 29.1Hz  57Hz   81Hz  113.8dB   23l +  17l  * 1x50mm   1063mm
 31.6Hz  60Hz   83Hz  115.3dB   20l +  17l  * 1x50mm    948mm
 34.4Hz  64Hz   86Hz  116.7dB   17l +  17l  * 1x50mm    845mm
 37.3Hz  67Hz   89Hz  118.1dB   15l +  17l  * 1x50mm    753mm
 40.4Hz  61Hz   92Hz  119.5dB   19l +  17l  * 1x50mm    913mm
 43.8Hz  63Hz   96Hz  120.9dB   18l +  17l  * 1x50mm    855mm
 47.4Hz  69Hz   99Hz  122.3dB   15l +  17l  * 1x50mm    725mm
 44.0Hz  73Hz  103Hz  121.0dB   13l +  17l  * 1x50mm    646mm
 48.0Hz  77Hz  107Hz  122.5dB   11l +  17l  * 1x50mm    576mm
 59.6Hz  81Hz  111Hz  126.3dB   10l +  17l  * 1x50mm    513mm
 18.7Hz  45Hz  110Hz  106.2dB   39l +  12l  * 1x50mm   2380mm
 20.6Hz  48Hz  112Hz  107.9dB   33l +  12l  * 1x50mm   2122mm
 22.7Hz  51Hz  114Hz  109.5dB   29l +  12l  * 1x50mm   1891mm
 25.0Hz  54Hz  116Hz  111.2dB   25l +  12l  * 1x50mm   1685mm
 27.5Hz  57Hz  119Hz  112.8dB   22l +  12l  * 1x50mm   1502mm
 30.1Hz  61Hz  122Hz  114.4dB   19l +  12l  * 1x50mm   1339mm
