-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 19.2Hz  40Hz   83Hz   80.4dB -105l +  11l  * 1x40mm   2125mm
 21.1Hz  42Hz   85Hz   82.0dB -195l +  11l  * 1x40mm   1894mm
 23.1Hz  45Hz   87Hz   83.6dB -4590l +  11l  * 1x40mm   1688mm
 25.3Hz  48Hz   89Hz   85.1dB  189l +  11l  * 1x40mm   1505mm
 27.7Hz  50Hz   92Hz   86.7dB   87l +  11l  * 1x40mm   1341mm
 30.2Hz  53Hz   94Hz   88.2dB   54l +  11l  * 1x40mm   1195mm
 33.0Hz  57Hz   97Hz   89.7dB   38l +  11l  * 1x40mm   1065mm
 35.9Hz  60Hz  100Hz   91.2dB   29l +  11l  * 1x40mm    950mm
 39.0Hz  63Hz  103Hz   92.7dB   22l +  11l  * 1x40mm    846mm
 42.4Hz  67Hz  106Hz   94.1dB   18l +  11l  * 1x40mm    754mm
 46.0Hz  71Hz  110Hz   95.5dB   15l +  11l  * 1x40mm    672mm
 49.9Hz  75Hz  114Hz   96.9dB   12l +  11l  * 1x40mm    599mm
 54.0Hz  78Hz  118Hz   98.3dB   11l +  11l  * 1x40mm    561mm
 58.4Hz  85Hz  122Hz   99.7dB    9l +  11l  - 1x50mm    744mm
 63.1Hz  90Hz  127Hz  101.0dB    7l +  11l  - 1x50mm    663mm
 68.1Hz  95Hz  132Hz  102.3dB    6l +  11l  - 1x50mm    591mm
 73.5Hz 100Hz  137Hz  103.6dB    6l +  11l  - 1x50mm    526mm
 19.2Hz  47Hz   83Hz   80.4dB  290l +   8l  * 1x40mm   2126mm
 21.1Hz  49Hz   85Hz   82.0dB  106l +   8l  * 1x40mm   1894mm
 23.1Hz  52Hz   87Hz   83.6dB   62l +   8l  * 1x40mm   1688mm
 25.3Hz  55Hz   89Hz   85.1dB   42l +   8l  * 1x40mm   1505mm
 27.7Hz  59Hz   92Hz   86.7dB   31l +   8l  * 1x40mm   1341mm
 30.2Hz  62Hz   94Hz   88.2dB   24l +   8l  * 1x40mm   1195mm
 33.0Hz  66Hz   97Hz   89.7dB   19l +   8l  * 1x40mm   1065mm
 35.9Hz  70Hz  100Hz   91.2dB   16l +   8l  * 1x40mm    950mm
 39.0Hz  74Hz  103Hz   92.7dB   13l +   8l  * 1x40mm    846mm
 42.4Hz  78Hz  106Hz   94.1dB   11l +   8l  * 1x40mm    754mm
 46.0Hz  83Hz  110Hz   95.5dB    9l +   8l  * 1x40mm    672mm
 49.9Hz  75Hz  114Hz   96.9dB   12l +   8l  * 1x40mm    815mm
 54.0Hz  78Hz  118Hz   98.3dB   11l +   8l  * 1x40mm    764mm
 58.4Hz  85Hz  122Hz   99.7dB    9l +   8l  * 1x40mm    648mm
 54.2Hz  90Hz  127Hz   98.4dB    7l +   8l  * 1x40mm    577mm
 59.3Hz  95Hz  132Hz   99.9dB    6l +   8l  * 1x40mm    515mm
 73.5Hz 100Hz  137Hz  103.6dB    6l +   8l  - 1x50mm    716mm
 23.1Hz  56Hz  136Hz   83.5dB   40l +   6l  * 1x40mm   2125mm
 25.5Hz  59Hz  138Hz   85.2dB   30l +   6l  * 1x40mm   1895mm
 28.0Hz  63Hz  141Hz   86.9dB   23l +   6l  * 1x40mm   1689mm
 30.8Hz  67Hz  144Hz   88.6dB   19l +   6l  * 1x40mm   1505mm
 33.9Hz  71Hz  147Hz   90.2dB   15l +   6l  * 1x40mm   1341mm
 37.2Hz  75Hz  150Hz   91.8dB   13l +   6l  * 1x40mm   1195mm
 40.8Hz  79Hz  154Hz   93.4dB   11l +   6l  * 1x40mm   1065mm
 44.6Hz  84Hz  157Hz   95.0dB    9l +   6l  * 1x40mm    949mm
