                       fs   mms    cms    cms1   cms2   cms     mms2
ax5                   68.0    5.2  1.06   1.09   1.05   1.07     5.0 
ax6                   54.0    7.5  1.15   1.17   1.16   1.17     7.4 
ax8                   37.6   11.7  1.52   1.51   1.53   1.52    11.9 
axp06                 57.0    8.9  0.890  0.914  0.876  0.895    8.5 
axp08                 52.0   12.7  0.750  0.767  0.738  0.752   12.2 
axp10                 57.6   37.3  0.205  0.209  0.205  0.207   36.5 
axp12                 44.5   42.0  0.303  0.311  0.305  0.308   41.2 
axt04                 89.0    2.9  0.000  1.16   1.10   1.13     2.8 
axt05                 71.0    7.6  0.660  0.682  0.661  0.671    7.4 
axt06                 46.0   13.9  0.860  0.872  0.861  0.867   13.7 
axt08                 38.0   20.8  0.840  0.860  0.843  0.851   20.4 
axt10                 31.1   39.6  0.660  0.673  0.661  0.667   38.9 
axt12                 23.4   67.2  0.690  0.704  0.688  0.696   65.7 
W160al                45.0   13.0  0.000  1.000  0.962  0.981   12.5 
