                       fs    mms    cms    sag    pct
ax5                   68.0    5.2  1.06   0.054  3.0% OK
ax6                   54.0    7.5  1.15   0.085  3.1% OK
ax8                   37.0   11.7  1.52   0.174  6.0% Not OK
axp06                 57.0    8.9  0.890  0.078  1.9% OK
axp08                 52.0   12.7  0.750  0.093  1.9% OK
axp10                 57.0   37.3  0.205  0.075  1.2% OK
axp12                 44.0   42.0  0.303  0.125  2.0% OK
axt04                 89.0    2.9  0.001  0.000  0.0% OK
axt05                 71.0    7.6  0.660  0.049  1.6% OK
axt06                 46.0   13.9  0.860  0.117  3.0% OK
axt08                 38.0   20.8  0.840  0.171  3.5% OK
axt10                 31.0   39.6  0.660  0.256  4.1% OK
axt12                 23.0   67.2  0.690  0.455  7.3% Not OK
W160al                45.0   13.0  0.001  0.000  0.0% OK
