-------------
GZTW10MK2
            85.2dB           300W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 11.5Hz  24Hz   50Hz   92.7dB  -82l +  30l  * 1x50mm   3436mm
 12.6Hz  25Hz   51Hz   94.3dB  -94l +  30l  * 1x50mm   3063mm
 13.8Hz  27Hz   52Hz   95.9dB -113l +  30l  * 1x50mm   2729mm
 15.1Hz  28Hz   53Hz   97.4dB -147l +  30l  * 1x50mm   2433mm
 16.5Hz  30Hz   55Hz   99.0dB -222l +  30l  * 1x50mm   2168mm
 18.0Hz  32Hz   56Hz  100.5dB -512l +  30l  * 1x50mm   1932mm
 19.6Hz  34Hz   58Hz  102.0dB 1096l +  30l  * 1x50mm   1722mm
 21.4Hz  36Hz   60Hz  103.5dB  242l +  30l  * 1x50mm   1535mm
 23.3Hz  38Hz   61Hz  104.9dB  129l +  30l  * 1x50mm   1368mm
 25.3Hz  40Hz   63Hz  106.4dB   85l +  30l  * 1x50mm   1219mm
 27.4Hz  42Hz   66Hz  107.8dB   61l +  30l  * 1x50mm   1087mm
 29.7Hz  45Hz   68Hz  109.2dB   47l +  30l  * 1x50mm    969mm
 32.2Hz  46Hz   70Hz  110.6dB   41l +  30l  * 1x50mm    907mm
 34.8Hz  50Hz   73Hz  111.9dB   30l +  30l  * 1x50mm    769mm
 37.6Hz  53Hz   76Hz  113.3dB   25l +  30l  * 1x50mm    686mm
 40.6Hz  57Hz   79Hz  114.6dB   20l +  30l  * 1x50mm    611mm
 43.8Hz  60Hz   82Hz  115.9dB   17l +  30l  * 1x50mm    545mm
 11.5Hz  28Hz   50Hz   92.7dB -134l +  22l  * 1x50mm   3436mm
 12.6Hz  29Hz   51Hz   94.3dB -190l +  22l  * 1x50mm   3062mm
 13.8Hz  31Hz   52Hz   95.9dB -356l +  22l  * 1x50mm   2729mm
 15.1Hz  33Hz   53Hz   97.4dB -21095l +  22l  * 1x50mm   2433mm
 16.5Hz  35Hz   55Hz   99.0dB  328l +  22l  * 1x50mm   2168mm
 18.0Hz  37Hz   56Hz  100.5dB  153l +  22l  * 1x50mm   1932mm
 19.6Hz  39Hz   58Hz  102.0dB   96l +  22l  * 1x50mm   1722mm
 21.4Hz  42Hz   60Hz  103.5dB   68l +  22l  * 1x50mm   1535mm
 23.3Hz  44Hz   61Hz  104.9dB   51l +  22l  * 1x50mm   1368mm
 25.3Hz  47Hz   63Hz  106.4dB   40l +  22l  * 1x50mm   1219mm
 27.4Hz  49Hz   66Hz  107.8dB   32l +  22l  * 1x50mm   1087mm
 29.7Hz  45Hz   68Hz  109.2dB   47l +  22l  * 1x50mm   1318mm
 32.2Hz  46Hz   70Hz  110.6dB   41l +  22l  * 1x50mm   1235mm
 34.8Hz  50Hz   73Hz  111.9dB   30l +  22l  * 1x50mm   1047mm
 32.3Hz  53Hz   76Hz  110.7dB   25l +  22l  * 1x50mm    933mm
 35.3Hz  57Hz   79Hz  112.2dB   20l +  22l  * 1x50mm    832mm
