                      fs     mms     qms        rms      rms/sd
GZRW 10               29.0   97.0   13.000      1.360    0.00432
GZRW 12	              26.0  105.0   14.000      1.225    0.00272
GZRW 15	              24.0  128.0   12.000      1.608    0.00213
GZRW 12S-AL           27.0   97.0   14.000      1.175    0.00261
GZRW 12D-AL           26.0  102.0   14.000      1.190    0.00264
GZHW 10               24.0  122.0    6.000      3.066    0.00859
GZHW 12	              26.0  179.0    6.000      4.874    0.00954
GZHW 15	              26.0  221.0    7.000      5.158    0.00611
GZPW15SPL             30.0  297.0    3.000     18.661    0.02396
GZPW18SPL             36.0  428.0    2.000     48.406    0.04401
GZPW15XQ              30.0  427.0    3.000     26.829    0.03444
