-------------
13 wxp-mg
            84.0dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 27.1Hz  56Hz  117Hz   82.9dB   12l +   3l  + 1x40mm   3519mm
 29.8Hz  60Hz  120Hz   84.5dB   10l +   3l  + 1x40mm   3136mm
 32.6Hz  63Hz  123Hz   86.1dB    9l +   3l  + 1x40mm   2795mm
 35.7Hz  67Hz  126Hz   87.6dB    8l +   3l  + 1x40mm   2492mm
 39.1Hz  71Hz  129Hz   89.2dB    7l +   3l  + 1x40mm   2220mm
 42.6Hz  75Hz  133Hz   90.7dB    6l +   3l  + 1x40mm   1979mm
 46.5Hz  80Hz  137Hz   92.2dB    5l +   3l  + 1x40mm   1764mm
 50.7Hz  84Hz  141Hz   93.7dB    4l +   3l  + 1x40mm   1572mm
 55.1Hz  89Hz  145Hz   95.2dB    4l +   3l  + 1x40mm   1401mm
 59.8Hz  95Hz  150Hz   96.6dB    3l +   3l  + 1x40mm   1249mm
 64.9Hz 100Hz  155Hz   98.0dB    3l +   3l  + 1x40mm   1113mm
 70.4Hz 106Hz  161Hz   99.4dB    3l +   3l  + 1x40mm    992mm
 76.2Hz 110Hz  167Hz  100.8dB    2l +   3l  + 1x40mm    929mm
 82.4Hz 119Hz  173Hz  102.2dB    2l +   3l  - 1x40mm    788mm
 89.1Hz 126Hz  179Hz  103.5dB    2l +   3l  - 1x40mm    702mm
 96.2Hz 134Hz  186Hz  104.8dB    2l +   3l  - 1x40mm    626mm
103.7Hz 142Hz  194Hz  106.1dB    1l +   3l  - 1x40mm    558mm
 27.1Hz  66Hz  117Hz   82.9dB    8l +   2l  + 1x40mm   3519mm
 29.8Hz  70Hz  120Hz   84.5dB    7l +   2l  + 1x40mm   3136mm
 32.6Hz  74Hz  123Hz   86.1dB    6l +   2l  + 1x40mm   2795mm
 35.7Hz  78Hz  126Hz   87.6dB    5l +   2l  + 1x40mm   2492mm
 39.1Hz  83Hz  129Hz   89.2dB    5l +   2l  + 1x40mm   2221mm
 42.6Hz  88Hz  133Hz   90.7dB    4l +   2l  + 1x40mm   1979mm
 46.5Hz  93Hz  137Hz   92.2dB    3l +   2l  + 1x40mm   1764mm
 50.7Hz  99Hz  141Hz   93.7dB    3l +   2l  + 1x40mm   1572mm
 55.1Hz 104Hz  145Hz   95.2dB    3l +   2l  + 1x40mm   1401mm
 59.8Hz 111Hz  150Hz   96.6dB    2l +   2l  + 1x40mm   1249mm
 64.9Hz 117Hz  155Hz   98.0dB    2l +   2l  + 1x40mm   1113mm
 70.4Hz 106Hz  161Hz   99.4dB    3l +   2l  + 1x40mm   1350mm
 76.2Hz 110Hz  167Hz  100.8dB    2l +   2l  + 1x40mm   1264mm
 82.4Hz 119Hz  173Hz  102.2dB    2l +   2l  + 1x40mm   1072mm
 76.6Hz 126Hz  179Hz  100.9dB    2l +   2l  + 1x40mm    956mm
 83.6Hz 134Hz  186Hz  102.4dB    2l +   2l  + 1x40mm    852mm
103.7Hz 142Hz  194Hz  106.1dB    1l +   2l  - 1x40mm    759mm
 32.6Hz  79Hz  192Hz   86.0dB    5l +   2l  + 1x40mm   3519mm
 35.9Hz  84Hz  195Hz   87.7dB    4l +   2l  + 1x40mm   3137mm
 39.6Hz  89Hz  199Hz   89.4dB    4l +   2l  + 1x40mm   2796mm
 43.5Hz  94Hz  203Hz   91.1dB    3l +   2l  + 1x40mm   2491mm
 47.8Hz 100Hz  207Hz   92.7dB    3l +   2l  + 1x40mm   2221mm
 52.5Hz 105Hz  212Hz   94.3dB    3l +   2l  + 1x40mm   1979mm
 57.5Hz 112Hz  217Hz   95.9dB    2l +   2l  + 1x40mm   1764mm
 63.0Hz 118Hz  222Hz   97.5dB    2l +   2l  + 1x40mm   1572mm
 68.8Hz 125Hz  228Hz   99.0dB    2l +   2l  + 1x40mm   1401mm
 75.1Hz 133Hz  234Hz  100.5dB    2l +   2l  + 1x40mm   1249mm
 81.9Hz 141Hz  241Hz  102.1dB    1l +   2l  + 1x40mm   1113mm
 89.2Hz 149Hz  248Hz  103.5dB    1l +   2l  + 1x40mm    992mm
 97.1Hz 158Hz  256Hz  105.0dB    1l +   2l  + 1x40mm    884mm
105.5Hz 167Hz  265Hz  106.4dB    1l +   2l  - 1x40mm    788mm
114.4Hz 177Hz  274Hz  107.9dB    1l +   2l  - 1x40mm    702mm
124.0Hz 187Hz  283Hz  109.3dB    1l +   2l  - 1x40mm    626mm
134.3Hz 199Hz  294Hz  110.6dB    1l +   2l  - 1x40mm    558mm
-------------
17 wxp-mg
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.3Hz  55Hz  114Hz   86.0dB   21l +   5l  * 1x40mm   2493mm
 28.9Hz  58Hz  116Hz   87.6dB   18l +   5l  * 1x40mm   2222mm
 31.7Hz  61Hz  119Hz   89.2dB   15l +   5l  * 1x40mm   1981mm
 34.6Hz  65Hz  122Hz   90.7dB   13l +   5l  * 1x40mm   1766mm
 37.9Hz  69Hz  125Hz   92.3dB   11l +   5l  * 1x40mm   1573mm
 41.3Hz  73Hz  129Hz   93.8dB    9l +   5l  * 1x40mm   1402mm
 45.1Hz  77Hz  133Hz   95.3dB    8l +   5l  * 1x40mm   1250mm
 49.1Hz  82Hz  137Hz   96.8dB    7l +   5l  * 1x40mm   1114mm
 53.4Hz  87Hz  141Hz   98.2dB    6l +   5l  * 1x40mm    993mm
 58.0Hz  92Hz  146Hz   99.7dB    5l +   5l  * 1x40mm    885mm
 63.0Hz  97Hz  151Hz  101.1dB    5l +   5l  * 1x40mm    789mm
 68.3Hz 103Hz  156Hz  102.5dB    4l +   5l  * 1x40mm    703mm
 73.9Hz 107Hz  161Hz  103.9dB    4l +   5l  * 1x40mm    658mm
 79.9Hz 116Hz  167Hz  105.2dB    3l +   5l  * 1x40mm    558mm
 86.4Hz 123Hz  174Hz  106.6dB    3l +   5l  - 1x50mm    777mm
 93.2Hz 130Hz  181Hz  107.9dB    2l +   5l  - 1x50mm    693mm
100.5Hz 138Hz  188Hz  109.2dB    2l +   5l  - 1x50mm    617mm
 26.3Hz  64Hz  114Hz   86.0dB   13l +   4l  * 1x40mm   2494mm
 28.9Hz  68Hz  116Hz   87.6dB   11l +   4l  * 1x40mm   2222mm
 31.7Hz  72Hz  119Hz   89.2dB   10l +   4l  * 1x40mm   1980mm
 34.6Hz  76Hz  122Hz   90.7dB    8l +   4l  * 1x40mm   1765mm
 37.9Hz  80Hz  125Hz   92.3dB    7l +   4l  * 1x40mm   1574mm
 41.3Hz  85Hz  129Hz   93.8dB    6l +   4l  * 1x40mm   1402mm
 45.1Hz  90Hz  133Hz   95.3dB    5l +   4l  * 1x40mm   1250mm
 49.1Hz  96Hz  137Hz   96.8dB    5l +   4l  * 1x40mm   1114mm
 53.4Hz 101Hz  141Hz   98.2dB    4l +   4l  * 1x40mm    993mm
 58.0Hz 107Hz  146Hz   99.7dB    4l +   4l  * 1x40mm    885mm
 63.0Hz 114Hz  151Hz  101.1dB    3l +   4l  * 1x40mm    789mm
 68.3Hz 103Hz  156Hz  102.5dB    4l +   4l  * 1x40mm    957mm
 73.9Hz 107Hz  161Hz  103.9dB    4l +   4l  * 1x40mm    896mm
 79.9Hz 116Hz  167Hz  105.2dB    3l +   4l  * 1x40mm    760mm
 74.2Hz 123Hz  174Hz  104.0dB    3l +   4l  * 1x40mm    677mm
 81.1Hz 130Hz  181Hz  105.5dB    2l +   4l  * 1x40mm    604mm
100.5Hz 138Hz  188Hz  109.2dB    2l +   4l  * 1x40mm    538mm
 31.6Hz  77Hz  186Hz   89.1dB    8l +   3l  * 1x40mm   2493mm
 34.8Hz  81Hz  189Hz   90.8dB    7l +   3l  * 1x40mm   2223mm
 38.4Hz  86Hz  193Hz   92.5dB    6l +   3l  * 1x40mm   1981mm
 42.2Hz  91Hz  197Hz   94.2dB    5l +   3l  * 1x40mm   1765mm
 46.4Hz  96Hz  201Hz   95.8dB    5l +   3l  * 1x40mm   1573mm
 50.9Hz 102Hz  205Hz   97.4dB    4l +   3l  * 1x40mm   1402mm
 55.8Hz 108Hz  210Hz   99.0dB    4l +   3l  * 1x40mm   1250mm
 61.0Hz 115Hz  215Hz  100.6dB    3l +   3l  * 1x40mm   1114mm
 66.7Hz 121Hz  221Hz  102.1dB    3l +   3l  * 1x40mm    993mm
 72.8Hz 129Hz  227Hz  103.6dB    2l +   3l  * 1x40mm    885mm
 79.4Hz 136Hz  234Hz  105.1dB    2l +   3l  * 1x40mm    789mm
 86.5Hz 144Hz  241Hz  106.6dB    2l +   3l  * 1x40mm    703mm
 94.1Hz 153Hz  249Hz  108.1dB    2l +   3l  * 1x40mm    626mm
102.2Hz 162Hz  257Hz  109.5dB    2l +   3l  * 1x40mm    558mm
111.0Hz 172Hz  265Hz  110.9dB    1l +   3l  - 1x50mm    777mm
120.3Hz 182Hz  275Hz  112.3dB    1l +   3l  - 1x50mm    693mm
130.2Hz 193Hz  285Hz  113.7dB    1l +   3l  - 1x50mm    618mm
-------------
18 wxp kegel
            87.0dB            80W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 18.8Hz  39Hz   81Hz   79.7dB  -61l +  11l  + 1x40mm   2256mm
 20.6Hz  41Hz   83Hz   81.3dB  -84l +  11l  + 1x40mm   2011mm
 22.6Hz  44Hz   85Hz   82.9dB -146l +  11l  + 1x40mm   1792mm
