-------------
e250 esprit
                    89.0dB           225W
  R||    qts   f3   Spl     SplMech Pmech  SplEle  
   0.0  0.58  60Hz  83.6dB  111.9dB  673W  107.1dB
   1.0  0.64  55Hz  83.6dB  110.4dB  481W  107.1dB
   1.5  0.66  50Hz  83.6dB  109.0dB  346W  107.1dB
   2.2  0.69  50Hz  83.6dB  109.0dB  346W  107.1dB
   3.3  0.72  47Hz  83.6dB  107.8dB  263W  107.1dB
   4.7  0.76  45Hz  83.6dB  106.9dB  213W  107.1dB
   6.8  0.80  45Hz  83.6dB  106.9dB  213W  107.1dB
  10.0  0.83  42Hz  83.6dB  105.9dB  171W  107.1dB
  15.0  0.87  41Hz  83.6dB  105.3dB  149W  107.1dB
  22.0  0.90  39Hz  83.6dB  104.5dB  123W  107.1dB
  33.0  0.92  39Hz  83.6dB  104.5dB  123W  107.1dB
  47.0  0.94  39Hz  83.6dB  104.5dB  123W  107.1dB
  68.0  0.95  38Hz  83.6dB  104.0dB  111W  107.1dB
 100.0  0.96  38Hz  83.6dB  104.0dB  111W  107.1dB
 150.0  0.97  38Hz  83.6dB  104.0dB  111W  107.1dB
9999.0  0.99  38Hz  83.6dB  104.0dB  111W  107.1dB
-------------
e300 esprit
                    88.0dB           300W
  R||    qts   f3   Spl     SplMech Pmech  SplEle  
   0.0  0.60  43Hz  83.4dB  109.5dB  410W  108.1dB
   1.0  0.66  37Hz  83.4dB  106.6dB  211W  108.1dB
   1.5  0.68  37Hz  83.4dB  106.6dB  211W  108.1dB
   2.2  0.71  34Hz  83.4dB  105.4dB  160W  108.1dB
   3.3  0.75  34Hz  83.4dB  105.4dB  160W  108.1dB
   4.7  0.78  33Hz  83.4dB  104.5dB  130W  108.1dB
   6.8  0.82  31Hz  83.4dB  103.5dB  104W  108.1dB
  10.0  0.86  30Hz  83.4dB  102.9dB   91W  108.1dB
  15.0  0.90  28Hz  83.4dB  102.1dB   75W  108.1dB
  22.0  0.93  28Hz  83.4dB  102.1dB   75W  108.1dB
  33.0  0.96  28Hz  83.4dB  101.7dB   68W  108.1dB
  47.0  0.98  28Hz  83.4dB  101.7dB   68W  108.1dB
  68.0  0.99  28Hz  83.4dB  101.7dB   68W  108.1dB
 100.0  1.00  27Hz  83.4dB  101.2dB   61W  108.1dB
 150.0  1.01  27Hz  83.4dB  101.2dB   61W  108.1dB
9999.0  1.03  27Hz  83.4dB  101.2dB   61W  108.1dB
