-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 26.8Hz  56Hz  116Hz   81.6dB   26l +   4l  + 1x40mm   3057mm
 29.4Hz  59Hz  119Hz   83.2dB   20l +   4l  + 1x40mm   2724mm
 32.2Hz  63Hz  121Hz   84.8dB   16l +   4l  + 1x40mm   2428mm
 35.3Hz  66Hz  124Hz   86.3dB   13l +   4l  + 1x40mm   2165mm
 38.6Hz  70Hz  128Hz   87.9dB   10l +   4l  + 1x40mm   1929mm
 42.1Hz  74Hz  131Hz   89.4dB    9l +   4l  + 1x40mm   1719mm
 45.9Hz  79Hz  135Hz   90.9dB    7l +   4l  + 1x40mm   1532mm
 50.0Hz  83Hz  139Hz   92.4dB    6l +   4l  + 1x40mm   1366mm
 54.4Hz  88Hz  144Hz   93.9dB    5l +   4l  + 1x40mm   1217mm
 59.1Hz  94Hz  148Hz   95.3dB    5l +   4l  + 1x40mm   1085mm
 64.1Hz  99Hz  153Hz   96.7dB    4l +   4l  + 1x40mm    967mm
 69.5Hz 105Hz  159Hz   98.1dB    3l +   4l  + 1x40mm    862mm
 75.3Hz 109Hz  164Hz   99.5dB    3l +   4l  + 1x40mm    807mm
 81.4Hz 118Hz  171Hz  100.9dB    3l +   4l  - 1x40mm    684mm
 88.0Hz 125Hz  177Hz  102.2dB    2l +   4l  - 1x40mm    610mm
 95.0Hz 132Hz  184Hz  103.5dB    2l +   4l  - 1x40mm    544mm
102.4Hz 140Hz  192Hz  104.8dB    2l +   4l    1x50mm    757mm
 26.8Hz  65Hz  116Hz   81.6dB   13l +   3l  + 1x40mm   3057mm
 29.4Hz  69Hz  119Hz   83.2dB   11l +   3l  + 1x40mm   2724mm
 32.2Hz  73Hz  121Hz   84.8dB    9l +   3l  + 1x40mm   2428mm
 35.3Hz  77Hz  124Hz   86.3dB    8l +   3l  + 1x40mm   2164mm
 38.6Hz  82Hz  128Hz   87.9dB    6l +   3l  + 1x40mm   1929mm
 42.1Hz  87Hz  131Hz   89.4dB    6l +   3l  + 1x40mm   1719mm
 45.9Hz  92Hz  135Hz   90.9dB    5l +   3l  + 1x40mm   1532mm
 50.0Hz  97Hz  139Hz   92.4dB    4l +   3l  + 1x40mm   1366mm
 54.4Hz 103Hz  144Hz   93.9dB    4l +   3l  + 1x40mm   1217mm
 59.1Hz 109Hz  148Hz   95.3dB    3l +   3l  + 1x40mm   1085mm
 64.1Hz 116Hz  153Hz   96.7dB    3l +   3l  + 1x40mm    967mm
 69.5Hz 105Hz  159Hz   98.1dB    3l +   3l  + 1x40mm   1173mm
 75.3Hz 109Hz  164Hz   99.5dB    3l +   3l  + 1x40mm   1098mm
 81.4Hz 118Hz  171Hz  100.9dB    3l +   3l  + 1x40mm    932mm
 75.6Hz 125Hz  177Hz   99.6dB    2l +   3l  + 1x40mm    830mm
 82.6Hz 132Hz  184Hz  101.1dB    2l +   3l  - 1x40mm    740mm
102.4Hz 140Hz  192Hz  104.8dB    2l +   3l  - 1x40mm    659mm
 32.2Hz  78Hz  189Hz   84.7dB    7l +   2l  + 1x40mm   3057mm
 35.5Hz  83Hz  193Hz   86.4dB    6l +   2l  + 1x40mm   2725mm
 39.1Hz  88Hz  196Hz   88.1dB    5l +   2l  + 1x40mm   2429mm
 43.0Hz  93Hz  200Hz   89.8dB    5l +   2l  + 1x40mm   2164mm
 47.2Hz  98Hz  204Hz   91.4dB    4l +   2l  + 1x40mm   1929mm
 51.8Hz 104Hz  209Hz   93.0dB    3l +   2l  + 1x40mm   1719mm
 56.8Hz 110Hz  214Hz   94.6dB    3l +   2l  + 1x40mm   1532mm
 62.2Hz 117Hz  219Hz   96.2dB    3l +   2l  + 1x40mm   1365mm
 68.0Hz 124Hz  225Hz   97.7dB    2l +   2l  + 1x40mm   1217mm
 74.2Hz 131Hz  231Hz   99.2dB    2l +   2l  + 1x40mm   1085mm
 80.9Hz 139Hz  238Hz  100.7dB    2l +   2l  + 1x40mm    967mm
 88.1Hz 147Hz  245Hz  102.2dB    2l +   2l  + 1x40mm    862mm
 95.8Hz 156Hz  253Hz  103.7dB    1l +   2l  - 1x40mm    768mm
104.1Hz 165Hz  261Hz  105.1dB    1l +   2l  - 1x40mm    684mm
113.0Hz 175Hz  270Hz  106.6dB    1l +   2l  - 1x40mm    610mm
122.5Hz 185Hz  280Hz  108.0dB    1l +   2l  - 1x40mm    544mm
132.6Hz 196Hz  290Hz  109.3dB    1l +   2l    1x50mm    757mm
-------------
M8N
            86.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.4Hz  28Hz   58Hz   84.4dB -762l +  23l  * 1x40mm   2105mm
 14.8Hz  30Hz   59Hz   86.0dB 1237l +  23l  * 1x40mm   1876mm
 16.2Hz  31Hz   61Hz   87.6dB  314l +  23l  * 1x40mm   1672mm
 17.7Hz  33Hz   62Hz   89.2dB  171l +  23l  * 1x40mm   1490mm
 19.3Hz  35Hz   64Hz   90.7dB  113l +  23l  * 1x40mm   1328mm
 21.1Hz  37Hz   66Hz   92.2dB   82l +  23l  * 1x40mm   1184mm
 23.0Hz  39Hz   68Hz   93.8dB   63l +  23l  * 1x40mm   1055mm
 25.1Hz  42Hz   70Hz   95.2dB   49l +  23l  * 1x40mm    940mm
 27.3Hz  44Hz   72Hz   96.7dB   40l +  23l  * 1x40mm    838mm
 29.6Hz  47Hz   74Hz   98.1dB   33l +  23l  * 1x40mm    747mm
 32.2Hz  50Hz   77Hz   99.6dB   28l +  23l  * 1x40mm    666mm
 34.9Hz  53Hz   80Hz  101.0dB   23l +  23l  * 1x40mm    593mm
 37.7Hz  54Hz   82Hz  102.3dB   21l +  23l  * 1x40mm    556mm
 40.8Hz  59Hz   86Hz  103.7dB   17l +  23l  - 1x50mm    736mm
 44.1Hz  63Hz   89Hz  105.0dB   15l +  23l  - 1x50mm    656mm
 47.6Hz  66Hz   92Hz  106.4dB   13l +  23l  - 1x50mm    585mm
 51.4Hz  70Hz   96Hz  107.7dB   11l +  23l  - 1x50mm    521mm
