-------------
D8G
            86.0dB           150W       1x70mm
   fu     fc      fo      SplMech  Vb1     Vb2       d         l        C
 15.0 Hz  35 Hz   81 Hz   89.7 dB   oo l +  12 l    1x70mm    714 mm  1381 µF
 16.0 Hz  36 Hz   83 Hz   90.8 dB  352 l +  12 l    1x70mm    654 mm  1273 µF
 17.0 Hz  38 Hz   85 Hz   91.8 dB  170 l +  12 l    1x70mm    599 mm  1174 µF
 18.0 Hz  39 Hz   86 Hz   92.8 dB  111 l +  12 l    1x70mm    551 mm  1088 µF
 19.0 Hz  41 Hz   88 Hz   93.8 dB   82 l +  12 l    1x70mm    509 mm  1012 µF
 20.0 Hz  42 Hz   89 Hz   94.7 dB   65 l +  12 l    1x70mm    471 mm   945 µF
 21.0 Hz  44 Hz   91 Hz   95.5 dB   54 l +  12 l    1x70mm    438 mm   886 µF
 22.0 Hz  45 Hz   92 Hz   96.3 dB   46 l +  12 l    1x70mm    408 mm   833 µF
 23.0 Hz  46 Hz   94 Hz   97.1 dB   39 l +  12 l    1x70mm    382 mm   785 µF
 24.0 Hz  48 Hz   95 Hz   97.8 dB   35 l +  12 l    1x70mm    357 mm   741 µF
 25.0 Hz  49 Hz   96 Hz   98.5 dB   31 l +  12 l    1x70mm    336 mm   702 µF
 26.0 Hz  50 Hz   98 Hz   99.2 dB   28 l +  12 l    1x70mm    316 mm   666 µF
 27.0 Hz  52 Hz   99 Hz   99.9 dB   25 l +  12 l    1x70mm    297 mm   634 µF
 28.0 Hz  53 Hz  100 Hz  100.5 dB   23 l +  12 l    1x70mm    281 mm   604 µF
 29.0 Hz  54 Hz  101 Hz  101.1 dB   21 l +  12 l    1x70mm    265 mm   576 µF
 30.0 Hz  55 Hz  102 Hz  101.7 dB   20 l +  12 l    1x70mm    251 mm   551 µF

