-------------
2118H
      97.0dB                            100W
SplMech  Pmech SplEle     f3

 81.9dB     0W 113.4dB @  16Hz
 83.9dB     0W 113.4dB @  18Hz
 85.7dB     0W 113.4dB @  20Hz
 87.4dB     0W 113.4dB @  22Hz
 88.9dB     0W 113.4dB @  24Hz
 90.3dB     0W 113.4dB @  26Hz
 91.6dB     1W 113.4dB @  28Hz
 92.8dB     1W 113.4dB @  30Hz
 93.9dB     1W 113.4dB @  32Hz
 95.0dB     1W 113.4dB @  34Hz
 95.9dB     2W 113.4dB @  36Hz
 96.9dB     2W 113.4dB @  38Hz
 97.8dB     3W 113.4dB @  40Hz
 98.6dB     3W 113.4dB @  42Hz
 99.4dB     4W 113.4dB @  44Hz
100.2dB     5W 113.4dB @  46Hz
100.9dB     6W 113.4dB @  48Hz
-------------
2118J
      97.0dB                            100W
SplMech  Pmech SplEle     f3

 81.9dB     0W 116.2dB @  16Hz
 83.9dB     0W 116.2dB @  18Hz
 85.7dB     0W 116.2dB @  20Hz
 87.4dB     0W 116.2dB @  22Hz
 88.9dB     0W 116.2dB @  24Hz
 90.3dB     0W 116.2dB @  26Hz
 91.6dB     0W 116.2dB @  28Hz
 92.8dB     0W 116.2dB @  30Hz
 93.9dB     1W 116.2dB @  32Hz
 95.0dB     1W 116.2dB @  34Hz
 95.9dB     1W 116.2dB @  36Hz
 96.9dB     1W 116.2dB @  38Hz
 97.8dB     1W 116.2dB @  40Hz
 98.6dB     2W 116.2dB @  42Hz
 99.4dB     2W 116.2dB @  44Hz
100.2dB     3W 116.2dB @  46Hz
100.9dB     3W 116.2dB @  48Hz
