-------------
C104   
            87.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.6Hz  28Hz   59Hz   94.1dB -821l +  28l  * 1x50mm   2658mm
 14.9Hz  30Hz   60Hz   95.7dB 1895l +  28l  * 1x50mm   2369mm
 16.3Hz  32Hz   61Hz   97.3dB  402l +  28l  * 1x50mm   2111mm
 17.9Hz  34Hz   63Hz   98.8dB  214l +  28l  * 1x50mm   1882mm
 19.5Hz  36Hz   65Hz  100.4dB  140l +  28l  * 1x50mm   1677mm
 21.3Hz  38Hz   66Hz  101.9dB  101l +  28l  * 1x50mm   1495mm
 23.2Hz  40Hz   68Hz  103.4dB   77l +  28l  * 1x50mm   1332mm
 25.3Hz  42Hz   70Hz  104.9dB   61l +  28l  * 1x50mm   1187mm
 27.5Hz  45Hz   73Hz  106.3dB   49l +  28l  * 1x50mm   1058mm
 29.9Hz  47Hz   75Hz  107.8dB   40l +  28l  * 1x50mm    943mm
 32.5Hz  50Hz   78Hz  109.2dB   34l +  28l  * 1x50mm    841mm
 35.2Hz  53Hz   80Hz  110.6dB   28l +  28l  * 1x50mm    749mm
 38.1Hz  55Hz   83Hz  112.0dB   26l +  28l  * 1x50mm    702mm
 41.2Hz  60Hz   86Hz  113.3dB   21l +  28l  * 1x50mm    595mm
 44.5Hz  63Hz   90Hz  114.7dB   18l +  28l  * 1x50mm    530mm
 48.1Hz  67Hz   93Hz  116.0dB   15l +  28l  * 1x50mm    473mm
 51.8Hz  71Hz   97Hz  117.3dB   13l +  28l  * 1x50mm    421mm
 13.6Hz  33Hz   59Hz   94.1dB  253l +  20l  * 1x50mm   2658mm
 14.9Hz  35Hz   60Hz   95.7dB  158l +  20l  * 1x50mm   2369mm
 16.3Hz  37Hz   61Hz   97.3dB  111l +  20l  * 1x50mm   2111mm
 17.9Hz  39Hz   63Hz   98.8dB   83l +  20l  * 1x50mm   1882mm
 19.5Hz  41Hz   65Hz  100.4dB   65l +  20l  * 1x50mm   1677mm
 21.3Hz  44Hz   66Hz  101.9dB   52l +  20l  * 1x50mm   1495mm
 23.2Hz  47Hz   68Hz  103.4dB   43l +  20l  * 1x50mm   1332mm
 25.3Hz  49Hz   70Hz  104.9dB   36l +  20l  * 1x50mm   1187mm
 27.5Hz  52Hz   73Hz  106.3dB   30l +  20l  * 1x50mm   1058mm
 29.9Hz  55Hz   75Hz  107.8dB   25l +  20l  * 1x50mm    943mm
 32.5Hz  59Hz   78Hz  109.2dB   22l +  20l  * 1x50mm    841mm
 35.2Hz  53Hz   80Hz  110.6dB   28l +  20l  * 1x50mm   1020mm
 38.1Hz  55Hz   83Hz  112.0dB   26l +  20l  * 1x50mm    955mm
 41.2Hz  60Hz   86Hz  113.3dB   21l +  20l  * 1x50mm    810mm
 38.3Hz  63Hz   90Hz  112.1dB   18l +  20l  * 1x50mm    722mm
 41.8Hz  67Hz   93Hz  113.6dB   15l +  20l  * 1x50mm    643mm
 51.8Hz  71Hz   97Hz  117.3dB   13l +  20l  * 1x50mm    573mm
 16.3Hz  40Hz   96Hz   97.2dB   80l +  14l  * 1x50mm   2658mm
 18.0Hz  42Hz   98Hz   98.9dB   63l +  14l  * 1x50mm   2369mm
 19.8Hz  44Hz   99Hz  100.6dB   51l +  14l  * 1x50mm   2112mm
 21.8Hz  47Hz  101Hz  102.3dB   42l +  14l  * 1x50mm   1882mm
 23.9Hz  50Hz  104Hz  103.9dB   35l +  14l  * 1x50mm   1677mm
 26.2Hz  53Hz  106Hz  105.5dB   29l +  14l  * 1x50mm   1495mm
 28.7Hz  56Hz  108Hz  107.1dB   25l +  14l  * 1x50mm   1332mm
 31.5Hz  59Hz  111Hz  108.7dB   21l +  14l  * 1x50mm   1187mm
 34.4Hz  63Hz  114Hz  110.2dB   18l +  14l  * 1x50mm   1058mm
 37.6Hz  66Hz  117Hz  111.7dB   16l +  14l  * 1x50mm    943mm
 41.0Hz  70Hz  121Hz  113.2dB   14l +  14l  * 1x50mm    841mm
 44.6Hz  74Hz  124Hz  114.7dB   12l +  14l  * 1x50mm    749mm
 48.5Hz  79Hz  128Hz  116.2dB   10l +  14l  * 1x50mm    668mm
 52.7Hz  84Hz  132Hz  117.6dB    9l +  14l  * 1x50mm    595mm
 57.2Hz  88Hz  137Hz  119.0dB    8l +  14l  * 1x50mm    530mm
 62.0Hz  94Hz  142Hz  120.4dB    7l +  14l  * 1x50mm    473mm
 67.1Hz  99Hz  147Hz  121.8dB    6l +  14l  * 1x50mm    421mm
-------------
C108   
            87.0dB           150W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.9Hz  29Hz   60Hz   94.5dB -1831l +  27l  * 1x50mm   2658mm
 15.2Hz  31Hz   61Hz   96.1dB  780l +  27l  * 1x50mm   2369mm
