                       fs   mms    cms    cms1   cms2   cms     mms2
C104                  29.4    0.0  0.000  0.345  0.000  0.172   85.0 
C108                  29.4    0.0  0.000  0.345  0.000  0.172   85.0 
C124                  26.5    0.0  0.000  0.333  0.000  0.166  108.4 
C128                  26.5    0.0  0.000  0.333  0.000  0.166  108.4 
C154                  21.7    0.0  0.000  0.272  0.000  0.136  197.7 
C158                  21.7    0.0  0.000  0.272  0.000  0.136  197.7 
C84                   40.2    0.0  0.000  0.337  0.000  0.168   46.5 
C88                   40.2    0.0  0.000  0.337  0.000  0.168   46.5 
CVR102                33.2    0.0  0.000  0.205  0.000  0.103  112.0 
CVR104                33.2    0.0  0.000  0.205  0.000  0.103  112.0 
CVR122                26.1    0.0  0.000  0.248  0.000  0.124  149.9 
CVR124                26.1    0.0  0.000  0.248  0.000  0.124  149.9 
CVR152                20.8    0.0  0.000  0.247  0.000  0.123  237.5 
CVR154                20.8    0.0  0.000  0.247  0.000  0.123  237.5 
CVR82                 44.3    0.0  0.000  0.224  0.000  0.112   57.6 
CVR84                 44.3    0.0  0.000  0.224  0.000  0.112   57.6 
CVT102                32.7    0.0  0.000  0.189  0.000  0.095  125.1 
CVT104                32.7    0.0  0.000  0.189  0.000  0.095  125.1 
CVT122                32.3    0.0  0.000  0.158  0.000  0.079  153.7 
CVT124                32.3    0.0  0.000  0.158  0.000  0.079  153.7 
CVT652                53.9    0.0  0.000  0.385  0.000  0.193   22.6 
CVT654                53.9    0.0  0.000  0.385  0.000  0.193   22.6 
CVT82                 49.2    0.0  0.000  0.178  0.000  0.089   58.8 
CVT84                 49.2    0.0  0.000  0.178  0.000  0.089   58.8 
CVX102                33.6    0.0  0.000  0.148  0.000  0.074  151.6 
CVX104                35.3    0.0  0.000  0.152  0.000  0.076  134.1 
CVX122                26.4    0.0  0.000  0.153  0.000  0.077  236.9 
CVX124                27.6    0.0  0.000  0.164  0.000  0.082  203.0 
CVX152                21.5    0.0  0.000  0.189  0.000  0.094  290.1 
CVX154                23.6    0.0  0.000  0.173  0.000  0.086  263.1 
S10C2                 29.5    0.0  0.000  0.232  0.000  0.116  125.4 
S10C4                 28.3    0.0  0.000  0.244  0.000  0.122  129.5 
S10L3                 32.9    0.0  0.000  0.154  0.000  0.077  151.5 
S10L52                29.8    0.0  0.000  0.168  0.000  0.084  170.0 
S10L54                32.1    0.0  0.000  0.161  0.000  0.080  153.1 
S10L72                34.7    0.0  0.000  0.126  0.000  0.063  166.6 
S10L74                36.4    0.0  0.000  0.123  0.000  0.061  155.6 
S10X2                 36.2    0.0  0.000  0.065  0.000  0.032  297.8 
S10X4                 40.5    0.0  0.000  0.060  0.000  0.030  255.4 
S12C2                 26.9    0.0  0.000  0.206  0.000  0.103  169.7 
S12C4                 26.2    0.0  0.000  0.210  0.000  0.105  175.6 
S12L3                 31.4    0.0  0.000  0.127  0.000  0.064  201.9 
S12L52                27.5    0.0  0.000  0.143  0.000  0.071  234.4 
S12L54                29.5    0.0  0.000  0.134  0.000  0.067  216.5 
S12L72                34.9    0.0  0.000  0.080  0.000  0.040  258.8 
S12L74                31.6    0.0  0.000  0.080  0.000  0.040  316.4 
S12X2                 37.8    0.0  0.000  0.051  0.000  0.026  346.8 
S12X4                 37.8    0.0  0.000  0.061  0.000  0.030  290.6 
S15C2                 21.3    0.0  0.000  0.205  0.000  0.102  272.8 
S15C4                 21.7    0.0  0.000  0.213  0.000  0.106  252.6 
S15L3                 24.6    0.0  0.000  0.150  0.000  0.075  278.7 
S15L52                20.1    0.0  0.000  0.154  0.000  0.077  405.8 
S15L54                19.7    0.0  0.000  0.172  0.000  0.086  380.4 
S15L72                26.2    0.0  0.000  0.103  0.000  0.052  357.5 
S15L74                26.3    0.0  0.000  0.109  0.000  0.055  335.6 
S18X2                 22.2    0.0  0.000  0.064  0.000  0.032  800.9 
S18X4                 25.2    0.0  0.000  0.057  0.000  0.028  700.3 
S8C2                  33.9    0.0  0.000  0.207  0.000  0.104  106.3 
S8C4                  40.1    0.0  0.000  0.206  0.000  0.103   76.6 
S8L52                 45.2    0.0  0.000  0.102  0.000  0.051  121.2 
S8L54                 47.3    0.0  0.000  0.101  0.000  0.051  111.7 
S8L72                 41.9    0.0  0.000  0.096  0.000  0.048  149.7 
S8L74                 46.5    0.0  0.000  0.100  0.000  0.050  116.8 
                       0.0    0.0  0.000
