-------------
chr70
            85.0dB            22W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 45.6Hz  74Hz  120Hz   90.8dB   30l +   3l    1x40mm   2131mm
 49.6Hz  79Hz  124Hz   92.2dB   14l +   3l    1x40mm   1900mm
 53.8Hz  83Hz  129Hz   93.7dB    9l +   3l    1x40mm   1693mm
 58.3Hz  88Hz  133Hz   95.1dB    6l +   3l    1x40mm   1509mm
 63.1Hz  91Hz  138Hz   96.4dB    5l +   3l    1x40mm   1413mm
 68.3Hz  99Hz  143Hz   97.8dB    4l +   3l    1x40mm   1199mm
 73.8Hz 105Hz  149Hz   99.1dB    3l +   3l    1x40mm   1068mm
 79.6Hz 111Hz  154Hz  100.5dB    2l +   3l    1x40mm    952mm
 35.3Hz  73Hz  110Hz   86.4dB   45l +   2l    1x40mm   3010mm
 38.5Hz  77Hz  113Hz   87.9dB   17l +   2l    1x40mm   2683mm
 42.0Hz  82Hz  117Hz   89.3dB   10l +   2l    1x40mm   2391mm
 45.6Hz  86Hz  120Hz   90.8dB    7l +   2l    1x40mm   2131mm
 49.6Hz  92Hz  124Hz   92.2dB    5l +   2l    1x40mm   1900mm
 53.8Hz  97Hz  129Hz   93.7dB    4l +   2l    1x40mm   1693mm
 58.3Hz  88Hz  133Hz   95.1dB    6l +   2l    1x40mm   2054mm
 63.1Hz  91Hz  138Hz   96.4dB    5l +   2l    1x40mm   1923mm
 68.3Hz  99Hz  143Hz   97.8dB    4l +   2l    1x40mm   1631mm
 63.4Hz 105Hz  149Hz   96.5dB    3l +   2l    1x40mm   1454mm
 69.3Hz 111Hz  154Hz   98.0dB    2l +   2l    1x40mm   1296mm
 32.8Hz  73Hz  165Hz   85.0dB   36l +   2l    1x40mm   4253mm
 36.0Hz  78Hz  168Hz   86.7dB   15l +   2l    1x40mm   3790mm
 39.6Hz  82Hz  172Hz   88.3dB    9l +   2l    1x40mm   3378mm
 43.5Hz  87Hz  175Hz   90.0dB    6l +   2l    1x40mm   3010mm
 47.6Hz  92Hz  180Hz   91.5dB    5l +   2l    1x40mm   2683mm
 52.1Hz  98Hz  184Hz   93.1dB    4l +   2l    1x40mm   2391mm
 57.0Hz 104Hz  189Hz   94.7dB    3l +   2l    1x40mm   2131mm
 62.2Hz 110Hz  194Hz   96.2dB    2l +   2l    1x40mm   1899mm
 67.9Hz 116Hz  200Hz   97.7dB    2l +   2l    1x40mm   1693mm
 73.9Hz 123Hz  206Hz   99.2dB    2l +   2l    1x40mm   1509mm
 80.4Hz 131Hz  212Hz  100.6dB    1l +   2l    1x40mm   1345mm
-------------
alpair5gold
            84.5dB             6W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 80.4Hz 127Hz  202Hz   90.3dB   29l +   1l    1x40mm   1955mm
-------------
alpair5grey
            85.0dB             6W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
alpair6
            15.0dB             0W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 38.2Hz  74Hz  144Hz   86.2dB 2188l +   2l    1x40mm   4162mm
 41.8Hz  78Hz  147Hz   87.8dB   27l +   2l    1x40mm   3710mm
 45.7Hz  83Hz  151Hz   89.3dB   13l +   2l    1x40mm   3306mm
 49.8Hz  88Hz  155Hz   90.9dB    8l +   2l    1x40mm   2947mm
 54.4Hz  93Hz  160Hz   92.4dB    6l +   2l    1x40mm   2626mm
 59.2Hz  99Hz  165Hz   93.9dB    4l +   2l    1x40mm   2341mm
 64.4Hz 105Hz  170Hz   95.3dB    3l +   2l    1x40mm   2086mm
 70.0Hz 111Hz  175Hz   96.8dB    3l +   2l    1x40mm   1859mm
 75.9Hz 117Hz  181Hz   98.2dB    2l +   2l    1x40mm   1657mm
 82.3Hz 124Hz  188Hz   99.6dB    2l +   2l    1x40mm   1477mm
 31.7Hz  77Hz  137Hz   83.0dB   40l +   1l    1x40mm   5240mm
 34.8Hz  82Hz  140Hz   84.6dB   15l +   1l    1x40mm   4670mm
 38.2Hz  86Hz  144Hz   86.2dB    9l +   1l    1x40mm   4162mm
 41.8Hz  92Hz  147Hz   87.8dB    6l +   1l    1x40mm   3710mm
 45.7Hz  97Hz  151Hz   89.3dB    5l +   1l    1x40mm   3307mm
 49.8Hz 103Hz  155Hz   90.9dB    4l +   1l    1x40mm   2947mm
 54.4Hz 109Hz  160Hz   92.4dB    3l +   1l    1x40mm   2626mm
 59.2Hz 115Hz  165Hz   93.9dB    2l +   1l    1x40mm   2341mm
 64.4Hz 122Hz  170Hz   95.3dB    2l +   1l    1x40mm   2086mm
 70.0Hz 129Hz  175Hz   96.8dB    2l +   1l    1x40mm   1859mm
 75.9Hz 137Hz  181Hz   98.2dB    1l +   1l    1x40mm   1657mm
 82.3Hz 124Hz  188Hz   99.6dB    2l +   1l    1x40mm   2010mm
-------------
alpair10bass
            86.2dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.1Hz  50Hz  104Hz   90.8dB   20l +   4l  + 1x40mm   3681mm
 26.4Hz  53Hz  107Hz   92.4dB   16l +   4l  + 1x40mm   3281mm
 29.0Hz  56Hz  109Hz   94.0dB   13l +   4l  + 1x40mm   2924mm
 31.7Hz  60Hz  112Hz   95.6dB   11l +   4l  + 1x40mm   2606mm
 34.7Hz  63Hz  115Hz   97.1dB    9l +   4l  + 1x40mm   2322mm
 37.9Hz  67Hz  118Hz   98.7dB    8l +   4l  + 1x40mm   2070mm
 41.3Hz  71Hz  121Hz  100.2dB    7l +   4l  + 1x40mm   1845mm
 45.0Hz  75Hz  125Hz  101.7dB    6l +   4l  + 1x40mm   1644mm
 48.9Hz  79Hz  129Hz  103.1dB    5l +   4l  + 1x40mm   1465mm
 53.1Hz  84Hz  133Hz  104.6dB    4l +   4l  + 1x40mm   1306mm
 57.6Hz  89Hz  138Hz  106.0dB    4l +   4l  + 1x40mm   1164mm
 62.5Hz  94Hz  143Hz  107.4dB    3l +   4l  + 1x40mm   1038mm
 67.7Hz  98Hz  148Hz  108.8dB    3l +   4l  + 1x40mm    972mm
 73.2Hz 106Hz  153Hz  110.1dB    3l +   4l  + 1x40mm    824mm
 79.1Hz 112Hz  159Hz  111.5dB    2l +   4l  - 1x40mm    734mm
 24.1Hz  58Hz  104Hz   90.8dB   12l +   3l  + 1x40mm   3681mm
 26.4Hz  62Hz  107Hz   92.4dB   10l +   3l  + 1x40mm   3280mm
 29.0Hz  66Hz  109Hz   94.0dB    8l +   3l  + 1x40mm   2924mm
 31.7Hz  69Hz  112Hz   95.6dB    7l +   3l  + 1x40mm   2606mm
 34.7Hz  74Hz  115Hz   97.1dB    6l +   3l  + 1x40mm   2323mm
 37.9Hz  78Hz  118Hz   98.7dB    5l +   3l  + 1x40mm   2070mm
 41.3Hz  83Hz  121Hz  100.2dB    5l +   3l  + 1x40mm   1845mm
 45.0Hz  87Hz  125Hz  101.7dB    4l +   3l  + 1x40mm   1644mm
 48.9Hz  93Hz  129Hz  103.1dB    3l +   3l  + 1x40mm   1466mm
 53.1Hz  98Hz  133Hz  104.6dB    3l +   3l  + 1x40mm   1306mm
 57.6Hz 104Hz  138Hz  106.0dB    3l +   3l  + 1x40mm   1164mm
 62.5Hz  94Hz  143Hz  107.4dB    3l +   3l  + 1x40mm   1412mm
 67.7Hz  98Hz  148Hz  108.8dB    3l +   3l  + 1x40mm   1323mm
 73.2Hz 106Hz  153Hz  110.1dB    3l +   3l  + 1x40mm   1122mm
 68.0Hz 112Hz  159Hz  108.8dB    2l +   3l  + 1x40mm   1000mm
 74.2Hz 119Hz  165Hz  110.4dB    2l +   3l  + 1x40mm    891mm
 28.9Hz  70Hz  170Hz   94.0dB    7l +   2l  + 1x40mm   3681mm
 31.9Hz  74Hz  173Hz   95.7dB    6l +   2l  + 1x40mm   3281mm
 35.1Hz  79Hz  176Hz   97.4dB    5l +   2l  + 1x40mm   2924mm
 38.6Hz  83Hz  180Hz   99.0dB    4l +   2l  + 1x40mm   2606mm
 42.4Hz  88Hz  184Hz  100.7dB    4l +   2l  + 1x40mm   2323mm
 46.6Hz  94Hz  188Hz  102.3dB    3l +   2l  + 1x40mm   2070mm
 51.1Hz  99Hz  192Hz  103.9dB    3l +   2l  + 1x40mm   1845mm
 55.9Hz 105Hz  197Hz  105.4dB    3l +   2l  + 1x40mm   1644mm
 61.1Hz 111Hz  202Hz  107.0dB    2l +   2l  + 1x40mm   1465mm
 66.7Hz 118Hz  208Hz  108.5dB    2l +   2l  + 1x40mm   1306mm
 72.7Hz 125Hz  214Hz  110.0dB    2l +   2l  + 1x40mm   1164mm
 79.2Hz 132Hz  221Hz  111.5dB    2l +   2l  + 1x40mm   1037mm
-------------
alpair10fr
            87.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.3Hz  53Hz  109Hz   91.2dB   27l +   4l  + 1x40mm   3035mm
 27.8Hz  56Hz  112Hz   92.8dB   21l +   4l  + 1x40mm   2705mm
 30.4Hz  59Hz  115Hz   94.4dB   17l +   4l  + 1x40mm   2411mm
 33.3Hz  63Hz  117Hz   96.0dB   14l +   4l  + 1x40mm   2149mm
 36.4Hz  66Hz  121Hz   97.5dB   11l +   4l  + 1x40mm   1915mm
 39.7Hz  70Hz  124Hz   99.0dB    9l +   4l  + 1x40mm   1707mm
 43.3Hz  74Hz  127Hz  100.5dB    8l +   4l  + 1x40mm   1521mm
 47.2Hz  79Hz  131Hz  102.0dB    7l +   4l  + 1x40mm   1356mm
 51.3Hz  83Hz  135Hz  103.5dB    6l +   4l  + 1x40mm   1208mm
 55.8Hz  88Hz  140Hz  104.9dB    5l +   4l  + 1x40mm   1077mm
 60.5Hz  94Hz  145Hz  106.3dB    4l +   4l  + 1x40mm    960mm
 65.6Hz  99Hz  150Hz  107.7dB    4l +   4l  + 1x40mm    855mm
