-------------
alpair12p
            91.7dB            30W       1x70mm
   fu     fc      fo      SplMech  Vb1     Vb2       d         l        C
 14.4 Hz  42 Hz  123 Hz   81.8 dB   oo l +   7 l  - 1x50mm    431 mm  1683 µF
 15.0 Hz  43 Hz  125 Hz   82.4 dB  794 l +   7 l  - 1x50mm    407 mm  1596 µF
 16.0 Hz  45 Hz  128 Hz   83.6 dB  289 l +   7 l    1x70mm    747 mm  1465 µF
 17.0 Hz  47 Hz  130 Hz   84.6 dB  175 l +   7 l    1x70mm    685 mm  1351 µF
 18.0 Hz  49 Hz  133 Hz   85.6 dB  125 l +   7 l    1x70mm    630 mm  1252 µF
 19.0 Hz  51 Hz  135 Hz   86.6 dB   97 l +   7 l    1x70mm    583 mm  1165 µF
 20.0 Hz  52 Hz  137 Hz   87.4 dB   79 l +   7 l    1x70mm    540 mm  1088 µF
 21.0 Hz  54 Hz  140 Hz   88.3 dB   66 l +   7 l    1x70mm    503 mm  1019 µF
 22.0 Hz  56 Hz  142 Hz   89.1 dB   57 l +   7 l    1x70mm    469 mm   958 µF
 23.0 Hz  58 Hz  144 Hz   89.9 dB   50 l +   7 l    1x70mm    439 mm   903 µF
 24.0 Hz  59 Hz  146 Hz   90.6 dB   44 l +   7 l    1x70mm    412 mm   853 µF
 25.0 Hz  61 Hz  148 Hz   91.3 dB   40 l +   7 l    1x70mm    387 mm   808 µF
 26.0 Hz  62 Hz  150 Hz   92.0 dB   36 l +   7 l    1x70mm    364 mm   767 µF
 27.0 Hz  64 Hz  152 Hz   92.7 dB   33 l +   7 l    1x70mm    344 mm   729 µF
 28.0 Hz  66 Hz  154 Hz   93.3 dB   30 l +   7 l    1x70mm    325 mm   695 µF
 29.0 Hz  67 Hz  156 Hz   93.9 dB   28 l +   7 l    1x70mm    307 mm   663 µF
 30.0 Hz  69 Hz  157 Hz   94.5 dB   26 l +   7 l    1x70mm    291 mm   634 µF

