-------------
CP-168
            89.0dB            40W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 23.4Hz  49Hz  101Hz   84.7dB  117l +   9l  * 1x40mm   1839mm
 25.7Hz  52Hz  103Hz   86.3dB   71l +   9l  * 1x40mm   1639mm
 28.1Hz  55Hz  106Hz   87.9dB   49l +   9l  * 1x40mm   1461mm
 30.8Hz  58Hz  109Hz   89.4dB   36l +   9l  * 1x40mm   1302mm
 33.7Hz  61Hz  111Hz   91.0dB   28l +   9l  * 1x40mm   1161mm
 36.7Hz  65Hz  115Hz   92.5dB   23l +   9l  * 1x40mm   1034mm
 40.1Hz  69Hz  118Hz   94.0dB   18l +   9l  * 1x40mm    922mm
 43.6Hz  73Hz  121Hz   95.5dB   15l +   9l  * 1x40mm    822mm
 47.5Hz  77Hz  125Hz   97.0dB   13l +   9l  * 1x40mm    732mm
 51.6Hz  82Hz  129Hz   98.4dB   11l +   9l  * 1x40mm    653mm
 56.0Hz  87Hz  134Hz   99.8dB    9l +   9l  * 1x40mm    582mm
 60.7Hz  92Hz  138Hz  101.2dB    8l +   9l  * 1x40mm    518mm
 65.7Hz  95Hz  143Hz  102.6dB    7l +   9l  - 1x50mm    759mm
 71.0Hz 103Hz  149Hz  104.0dB    6l +   9l  - 1x50mm    643mm
 76.8Hz 109Hz  155Hz  105.3dB    5l +   9l  - 1x50mm    573mm
 82.9Hz 115Hz  161Hz  106.6dB    5l +   9l  - 1x50mm    511mm
 23.4Hz  57Hz  101Hz   84.7dB   40l +   6l  * 1x40mm   1839mm
 25.7Hz  60Hz  103Hz   86.3dB   31l +   6l  * 1x40mm   1639mm
 28.1Hz  64Hz  106Hz   87.9dB   24l +   6l  * 1x40mm   1461mm
 30.8Hz  67Hz  109Hz   89.4dB   20l +   6l  * 1x40mm   1302mm
 33.7Hz  71Hz  111Hz   91.0dB   16l +   6l  * 1x40mm   1161mm
 36.7Hz  76Hz  115Hz   92.5dB   14l +   6l  * 1x40mm   1034mm
 40.1Hz  80Hz  118Hz   94.0dB   11l +   6l  * 1x40mm    922mm
 43.6Hz  85Hz  121Hz   95.5dB   10l +   6l  * 1x40mm    822mm
 47.5Hz  90Hz  125Hz   97.0dB    8l +   6l  * 1x40mm    732mm
 51.6Hz  95Hz  129Hz   98.4dB    7l +   6l  * 1x40mm    653mm
 56.0Hz 101Hz  134Hz   99.8dB    6l +   6l  * 1x40mm    582mm
 60.7Hz  92Hz  138Hz  101.2dB    8l +   6l  * 1x40mm    706mm
 65.7Hz  95Hz  143Hz  102.6dB    7l +   6l  * 1x40mm    661mm
 71.0Hz 103Hz  149Hz  104.0dB    6l +   6l  * 1x40mm    561mm
 66.0Hz 109Hz  155Hz  102.7dB    5l +   6l  - 1x50mm    780mm
 72.1Hz 115Hz  161Hz  104.2dB    5l +   6l  - 1x50mm    696mm
 28.1Hz  68Hz  165Hz   87.8dB   19l +   4l  * 1x40mm   1839mm
 31.0Hz  72Hz  168Hz   89.5dB   16l +   4l  * 1x40mm   1640mm
 34.1Hz  76Hz  171Hz   91.2dB   13l +   4l  * 1x40mm   1461mm
 37.5Hz  81Hz  175Hz   92.9dB   11l +   4l  * 1x40mm   1302mm
 41.2Hz  86Hz  178Hz   94.5dB    9l +   4l  * 1x40mm   1161mm
 45.2Hz  91Hz  182Hz   96.1dB    8l +   4l  * 1x40mm   1034mm
 49.6Hz  96Hz  187Hz   97.7dB    7l +   4l  * 1x40mm    922mm
 54.2Hz 102Hz  191Hz   99.3dB    6l +   4l  * 1x40mm    822mm
 59.3Hz 108Hz  197Hz  100.8dB    5l +   4l  * 1x40mm    732mm
 64.7Hz 114Hz  202Hz  102.4dB    5l +   4l  * 1x40mm    653mm
 70.6Hz 121Hz  208Hz  103.9dB    4l +   4l  * 1x40mm    582mm
 76.9Hz 128Hz  214Hz  105.3dB    4l +   4l  * 1x40mm    518mm
 83.6Hz 136Hz  221Hz  106.8dB    3l +   4l  - 1x50mm    722mm
