-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 21.4Hz  45Hz   93Hz  100.5dB   41l +   6l  * 1x50mm   5237mm
 23.5Hz  47Hz   95Hz  102.1dB   30l +   6l  * 1x50mm   4667mm
 25.8Hz  50Hz   97Hz  103.7dB   23l +   6l  * 1x50mm   4160mm
 28.2Hz  53Hz  100Hz  105.3dB   19l +   6l  * 1x50mm   3708mm
 30.9Hz  56Hz  102Hz  106.8dB   15l +   6l  * 1x50mm   3304mm
 33.7Hz  59Hz  105Hz  108.3dB   13l +   6l  * 1x50mm   2945mm
 36.7Hz  63Hz  108Hz  109.9dB   11l +   6l  * 1x50mm   2625mm
 40.0Hz  67Hz  111Hz  111.3dB    9l +   6l  * 1x50mm   2340mm
 43.5Hz  71Hz  115Hz  112.8dB    8l +   6l  * 1x50mm   2085mm
 47.3Hz  75Hz  119Hz  114.2dB    7l +   6l  * 1x50mm   1858mm
 51.3Hz  79Hz  123Hz  115.7dB    6l +   6l  * 1x50mm   1656mm
 55.6Hz  84Hz  127Hz  117.1dB    5l +   6l  * 1x50mm   1476mm
 60.2Hz  87Hz  132Hz  118.4dB    5l +   6l  * 1x50mm   1382mm
 65.1Hz  94Hz  136Hz  119.8dB    4l +   6l  * 1x50mm   1172mm
 70.4Hz 100Hz  142Hz  121.1dB    3l +   6l  * 1x50mm   1045mm
 76.0Hz 106Hz  147Hz  122.5dB    3l +   6l  * 1x50mm    931mm
 81.9Hz 112Hz  153Hz  123.8dB    3l +   6l  * 1x50mm    830mm
 21.4Hz  52Hz   93Hz  100.5dB   20l +   4l  * 1x50mm   5237mm
 23.5Hz  55Hz   95Hz  102.1dB   16l +   4l  * 1x50mm   4667mm
 25.8Hz  58Hz   97Hz  103.7dB   13l +   4l  * 1x50mm   4159mm
 28.2Hz  62Hz  100Hz  105.3dB   11l +   4l  * 1x50mm   3708mm
 30.9Hz  66Hz  102Hz  106.8dB    9l +   4l  * 1x50mm   3305mm
 33.7Hz  69Hz  105Hz  108.3dB    8l +   4l  * 1x50mm   2945mm
 36.7Hz  73Hz  108Hz  109.9dB    7l +   4l  * 1x50mm   2625mm
 40.0Hz  78Hz  111Hz  111.3dB    6l +   4l  * 1x50mm   2339mm
 43.5Hz  82Hz  115Hz  112.8dB    5l +   4l  * 1x50mm   2085mm
 47.3Hz  87Hz  119Hz  114.2dB    4l +   4l  * 1x50mm   1858mm
 51.3Hz  93Hz  123Hz  115.7dB    4l +   4l  * 1x50mm   1656mm
 55.6Hz  84Hz  127Hz  117.1dB    5l +   4l  * 1x50mm   2009mm
 60.2Hz  87Hz  132Hz  118.4dB    5l +   4l  * 1x50mm   1882mm
 65.1Hz  94Hz  136Hz  119.8dB    4l +   4l  * 1x50mm   1596mm
 60.5Hz 100Hz  142Hz  118.5dB    3l +   4l  * 1x50mm   1422mm
 66.1Hz 106Hz  147Hz  120.0dB    3l +   4l  * 1x50mm   1268mm
 81.9Hz 112Hz  153Hz  123.8dB    3l +   4l  * 1x50mm   1130mm
 25.7Hz  62Hz  152Hz  103.7dB   11l +   3l  * 1x50mm   5236mm
 28.4Hz  66Hz  154Hz  105.4dB    9l +   3l  * 1x50mm   4668mm
 31.3Hz  70Hz  157Hz  107.0dB    8l +   3l  * 1x50mm   4161mm
 34.4Hz  74Hz  160Hz  108.7dB    7l +   3l  * 1x50mm   3708mm
 37.8Hz  79Hz  164Hz  110.3dB    6l +   3l  * 1x50mm   3305mm
 41.5Hz  83Hz  167Hz  112.0dB    5l +   3l  * 1x50mm   2945mm
 45.4Hz  88Hz  171Hz  113.5dB    4l +   3l  * 1x50mm   2624mm
 49.7Hz  93Hz  176Hz  115.1dB    4l +   3l  * 1x50mm   2339mm
 54.4Hz  99Hz  180Hz  116.7dB    3l +   3l  * 1x50mm   2085mm
 59.3Hz 105Hz  185Hz  118.2dB    3l +   3l  * 1x50mm   1858mm
 64.7Hz 111Hz  191Hz  119.7dB    3l +   3l  * 1x50mm   1656mm
 70.5Hz 118Hz  196Hz  121.2dB    2l +   3l  * 1x50mm   1476mm
 76.7Hz 125Hz  202Hz  122.6dB    2l +   3l  * 1x50mm   1316mm
 83.3Hz 132Hz  209Hz  124.1dB    2l +   3l  * 1x50mm   1172mm
 90.4Hz 140Hz  216Hz  125.5dB    2l +   3l  * 1x50mm   1045mm
 98.0Hz 148Hz  224Hz  126.9dB    1l +   3l  * 1x50mm    931mm
106.1Hz 157Hz  232Hz  128.3dB    1l +   3l  * 1x50mm    830mm
-------------
AWM124
            90.0dB           220W      2x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.3Hz  53Hz  109Hz  106.7dB   33l +   7l  * 1x70mm   5746mm
 27.8Hz  56Hz  112Hz  108.3dB   27l +   7l  * 1x70mm   5121mm
 30.4Hz  59Hz  115Hz  109.9dB   22l +   7l  * 1x70mm   4564mm
 33.3Hz  63Hz  117Hz  111.5dB   19l +   7l  * 1x70mm   4069mm
 36.4Hz  66Hz  121Hz  113.0dB   16l +   7l  * 1x70mm   3625mm
 39.7Hz  70Hz  124Hz  114.5dB   14l +   7l  * 1x70mm   3231mm
 43.3Hz  74Hz  127Hz  116.0dB   12l +   7l  * 1x70mm   2880mm
 47.2Hz  79Hz  131Hz  117.5dB   10l +   7l  * 1x70mm   2567mm
 51.3Hz  83Hz  135Hz  119.0dB    9l +   7l  * 1x70mm   2287mm
 55.8Hz  88Hz  140Hz  120.4dB    8l +   7l  * 1x70mm   2039mm
 60.5Hz  94Hz  145Hz  121.8dB    7l +   7l  * 1x70mm   1817mm
 65.6Hz  99Hz  150Hz  123.2dB    6l +   7l  * 1x70mm   1620mm
