                       fs   mms    cms    cms1   cms2   cms     mms2
AWM104                36.0  119.0  0.164  0.133  0.164  0.149  146.4 
AWM124                35.0  149.0  0.139  0.118  0.139  0.128  176.0 
AWX184                28.0  203.0  0.159  0.164  0.159  0.161  197.5 
AW2000                30.0   49.0  0.000  0.592  0.574  0.583   47.5 
AW3000                27.0  129.0  0.269  0.265  0.269  0.267  131.0 
AW3000                27.0  129.0  0.269  0.277  0.269  0.273  125.6 
WPP150                48.0    8.1  1.36   1.42   1.36   1.39     7.7 
WPP180                46.0   13.1  0.910  0.920  0.914  0.917   13.0 
XAW180                35.0   15.1  1.37   1.41   1.37   1.39    14.7 
XAW210                32.0   45.8  0.540  0.554  0.540  0.547   44.7 
XAW310                30.0  116.0  0.243  0.248  0.243  0.245  113.3 
Compactor SPL 610     29.0   92.0  0.327  0.336  0.327  0.332   89.7 
Compactor SPL 812     27.0  128.0  0.271  0.280  0.271  0.276  124.2 
WAL416                61.0    6.9  0.690  1.04   0.987  1.02     6.5 
mpa WM8               43.0   20.4  1.000  0.688  0.672  0.680   19.9 
XAW320HC+0            22.6  163.0  0.308  0.312  0.304  0.308  158.9 
XAW320HC+1            19.5  219.0  0.308  0.312  0.304  0.308  213.5 
XAW320HC+2            17.6  270.0  0.308  0.312  0.303  0.307  262.0 
XAW320HC+3            16.1  320.0  0.308  0.312  0.305  0.309  313.1 
