                       fs    mms    cms    sag    pct
AWM104                36.0  119.0  0.164  0.191  2.1% OK
AWM124                35.0  149.0  0.139  0.203  2.3% OK
AWX184                28.0  203.0  0.159  0.317  6.3% Not OK
AW2000                30.0   49.0  0.001  0.000  0.0% OK
AW3000                27.0  129.0  0.269  0.340  5.4% Not OK
AW3000                27.0  129.0  0.269  0.340  5.3% Not OK
WPP150                48.0    8.1  1.36   0.108  3.2% OK
WPP180                46.0   13.1  0.910  0.117  3.1% OK
XAW180                35.0   15.1  1.37   0.203  4.8% OK
XAW210                32.0   45.8  0.540  0.243  3.1% OK
XAW310                30.0  116.0  0.243  0.277  2.8% OK
Compactor SPL 610     29.0   92.0  0.327  0.295  5.4% Not OK
Compactor SPL 812     27.0  128.0  0.271  0.340  6.2% Not OK
WAL416                61.0    6.9  0.690  0.047  0.8% OK
mpa WM8               43.0   20.4  1.000  0.200  4.0% OK
XAW320HC+0            22.0  163.0  0.308  0.493  4.5% OK
XAW320HC+1            19.0  219.0  0.308  0.662  6.0% Not OK
XAW320HC+2            17.0  270.0  0.308  0.816  7.4% Not OK
XAW320HC+3            16.0  320.0  0.308  0.967  8.8% Not OK
