                      fs     mms     qms        rms      rms/sd
AWM104                36.0  119.0    4.000      6.729    0.01945
AWM124                35.0  149.0    4.000      8.192    0.01616
AWX184                28.0  203.0    2.000     17.857    0.01503
AW3000                27.0  129.0    3.000      7.295    0.01439
WPP180                46.0   13.0    1.000      3.757    0.02890
XAW180                35.0   15.0    4.000      0.825    0.00625
XAW210                32.0   45.0    5.000      1.810    0.00866
XAW310                30.0  116.0    4.000      5.466    0.01118
Compactor SPL 610     29.0   92.0    5.000      3.353    0.00995
Compactor SPL 812     27.0  128.0    6.000      3.619    0.00725
XAW320HC+0            22.0  163.0    4.000      5.633    0.01129
XAW320HC+1            19.0  219.0    4.000      6.536    0.01310
XAW320HC+2            17.0  270.0    5.000      5.768    0.01156
XAW320HC+3            16.0  320.0    5.000      6.434    0.01289
