                       fs   mms    cms    cms1   cms2   cms     mms2
sph165kep             30.0   17.0  1.71   1.73   1.66   1.69    16.3 
sph8xtb               34.0   30.0  0.720  0.748  0.730  0.739   29.3 
sp200x                50.0   11.5  0.770  0.798  0.881  0.839   12.7 
sph200tc              28.0   32.0  1.000  1.08   1.01   1.05    29.9 
sph200ctc             22.0   45.0  1.20   1.20   1.16   1.18    43.6 
sph200ke              28.0   37.0  0.890  0.924  0.873  0.899   35.0 
sph250tc              26.0   55.0  0.500  0.514  0.681  0.598   72.8 
sph250ctc             20.0   70.0  1.000  1.37   0.905  1.14    46.2 
sph300tc              23.0   68.0  0.850  0.868  0.704  0.786   55.2 
sph300ctc             18.0  100.0  0.750  0.673  0.782  0.727  116.1 
sph380tc              22.0  200.0  0.280  0.286  0.262  0.274  183.2 
sph390tc              23.0  160.0  0.300  0.288  0.299  0.294  166.2 
sph450tc              20.0  305.0  0.220  0.225  0.208  0.216  281.2 
sp8/150pro            56.0   22.8  0.350  0.355  0.354  0.355   22.7 
