                      fs     mms     qms        rms      rms/sd
sph165kep             30.0   17.0    4.000      0.801    0.00631
sph8xtb               34.0   30.0    3.000      2.136    0.00929
sph200tc              28.0   32.0    6.000      0.938    0.00447
sph200ctc             22.0   45.0    4.000      1.555    0.00727
sph200ke              28.0   37.0    4.000      1.627    0.00786
sph250tc              26.0   55.0    3.000      2.995    0.00866
sph250ctc             20.0   70.0    5.000      1.759    0.00513
sph300tc              23.0   68.0    3.000      3.276    0.00662
sph300ctc             18.0  100.0    6.000      1.885    0.00381
sph380tc              22.0  200.0    2.000     13.823    0.01646
sph390tc              23.0  160.0    6.000      3.854    0.00453
sph450tc              20.0  305.0    3.000     12.776    0.01022
sph-176               39.0   14.0    2.000      1.715    0.01225
SP-46A/500BS          36.0  141.0    4.000      7.973    0.00686
SPA-45PA              29.0  136.0    3.000      8.260    0.00674
SP-12A/302PA          50.0   50.0    7.000      2.244    0.00423
