-------------
BMS 13/4
            86.5dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 39.0Hz  81Hz  169Hz   90.5dB    5l +   1l  + 1x40mm   4068mm
 42.8Hz  86Hz  172Hz   92.1dB    4l +   1l  + 1x40mm   3626mm
 46.9Hz  91Hz  176Hz   93.7dB    4l +   1l  + 1x40mm   3231mm
 51.3Hz  96Hz  181Hz   95.3dB    3l +   1l  + 1x40mm   2881mm
 56.1Hz 102Hz  186Hz   96.8dB    3l +   1l  + 1x40mm   2567mm
 61.2Hz 108Hz  191Hz   98.3dB    2l +   1l  + 1x40mm   2288mm
 66.7Hz 114Hz  196Hz   99.8dB    2l +   1l  + 1x40mm   2039mm
 72.7Hz 121Hz  202Hz  101.3dB    2l +   1l  + 1x40mm   1817mm
 79.1Hz 128Hz  209Hz  102.8dB    2l +   1l  + 1x40mm   1620mm
 85.9Hz 136Hz  215Hz  104.2dB    1l +   1l  + 1x40mm   1444mm
 93.2Hz 144Hz  223Hz  105.6dB    1l +   1l  + 1x40mm   1287mm
101.0Hz 153Hz  231Hz  107.0dB    1l +   1l  + 1x40mm   1147mm
109.4Hz 158Hz  239Hz  108.4dB    1l +   1l  + 1x40mm   1074mm
118.3Hz 171Hz  248Hz  109.8dB    1l +   1l  + 1x40mm    911mm
127.9Hz 181Hz  257Hz  111.1dB    1l +   1l  + 1x40mm    812mm
138.0Hz 192Hz  268Hz  112.4dB    1l +   1l  - 1x40mm    724mm
148.8Hz 204Hz  278Hz  113.8dB    1l +   1l  - 1x40mm    645mm
 39.0Hz  95Hz  169Hz   90.5dB    3l +   1l  + 1x40mm   4068mm
 42.8Hz 100Hz  172Hz   92.1dB    3l +   1l  + 1x40mm   3625mm
 46.9Hz 106Hz  176Hz   93.7dB    3l +   1l  + 1x40mm   3231mm
 51.3Hz 112Hz  181Hz   95.3dB    2l +   1l  + 1x40mm   2880mm
 56.1Hz 119Hz  186Hz   96.8dB    2l +   1l  + 1x40mm   2567mm
 61.2Hz 126Hz  191Hz   98.3dB    2l +   1l  + 1x40mm   2288mm
 66.7Hz 134Hz  196Hz   99.8dB    1l +   1l  + 1x40mm   2039mm
 72.7Hz 141Hz  202Hz  101.3dB    1l +   1l  + 1x40mm   1817mm
 79.1Hz 150Hz  209Hz  102.8dB    1l +   1l  + 1x40mm   1620mm
 85.9Hz 159Hz  215Hz  104.2dB    1l +   1l  + 1x40mm   1444mm
 93.2Hz 168Hz  223Hz  105.6dB    1l +   1l  + 1x40mm   1287mm
101.0Hz 153Hz  231Hz  107.0dB    1l +   1l  + 1x40mm   1561mm
109.4Hz 158Hz  239Hz  108.4dB    1l +   1l  + 1x40mm   1462mm
118.3Hz 171Hz  248Hz  109.8dB    1l +   1l  + 1x40mm   1240mm
109.9Hz 181Hz  257Hz  108.5dB    1l +   1l  + 1x40mm   1105mm
120.0Hz 192Hz  268Hz  110.0dB    1l +   1l  + 1x40mm    985mm
148.8Hz 204Hz  278Hz  113.8dB    1l +   1l  + 1x40mm    878mm
 46.7Hz 113Hz  275Hz   93.6dB    2l +   1l  + 1x40mm   4068mm
 51.5Hz 120Hz  280Hz   95.3dB    2l +   1l  + 1x40mm   3626mm
 56.8Hz 127Hz  285Hz   97.0dB    2l +   1l  + 1x40mm   3232mm
 62.5Hz 135Hz  291Hz   98.7dB    1l +   1l  + 1x40mm   2880mm
 68.6Hz 143Hz  297Hz  100.3dB    1l +   1l  + 1x40mm   2567mm
 75.3Hz 151Hz  304Hz  101.9dB    1l +   1l  + 1x40mm   2288mm
 82.5Hz 160Hz  311Hz  103.5dB    1l +   1l  + 1x40mm   2039mm
 90.3Hz 170Hz  319Hz  105.1dB    1l +   1l  + 1x40mm   1817mm
 98.8Hz 180Hz  327Hz  106.6dB    1l +   1l  + 1x40mm   1620mm
107.8Hz 190Hz  336Hz  108.2dB    1l +   1l  + 1x40mm   1443mm
117.6Hz 202Hz  346Hz  109.7dB    1l +   1l  + 1x40mm   1287mm
128.0Hz 214Hz  357Hz  111.1dB    1l +   1l  + 1x40mm   1147mm
