-------------
BMS 13/4
      86.5dB                             60W
SplMech  Pmech SplEle     f3

 75.0dB     0W 101.9dB @  16Hz
 77.1dB     0W 101.9dB @  18Hz
 78.9dB     0W 101.9dB @  20Hz
 80.6dB     0W 101.9dB @  22Hz
 82.1dB     1W 101.9dB @  24Hz
 83.5dB     1W 101.9dB @  26Hz
 84.7dB     1W 101.9dB @  28Hz
 85.9dB     2W 101.9dB @  30Hz
 87.1dB     2W 101.9dB @  32Hz
 88.1dB     2W 101.9dB @  34Hz
 89.1dB     3W 101.9dB @  36Hz
 90.0dB     4W 101.9dB @  38Hz
 90.9dB     5W 101.9dB @  40Hz
 91.8dB     6W 101.9dB @  42Hz
 92.6dB     7W 101.9dB @  44Hz
 93.4dB     8W 101.9dB @  46Hz
 94.1dB    10W 101.9dB @  48Hz
-------------
BM 17/8
      89.0dB                             90W
SplMech  Pmech SplEle     f3

 80.6dB     0W 107.2dB @  16Hz
 82.6dB     0W 107.2dB @  18Hz
 84.5dB     0W 107.2dB @  20Hz
 86.1dB     1W 107.2dB @  22Hz
 87.6dB     1W 107.2dB @  24Hz
 89.0dB     1W 107.2dB @  26Hz
 90.3dB     2W 107.2dB @  28Hz
 91.5dB     2W 107.2dB @  30Hz
 92.6dB     3W 107.2dB @  32Hz
 93.7dB     4W 107.2dB @  34Hz
 94.7dB     5W 107.2dB @  36Hz
 95.6dB     6W 107.2dB @  38Hz
 96.5dB     8W 107.2dB @  40Hz
 97.3dB     9W 107.2dB @  42Hz
 98.1dB    11W 107.2dB @  44Hz
 98.9dB    13W 107.2dB @  46Hz
 99.7dB    16W 107.2dB @  48Hz
