                       fs   mms    cms    cms1   cms2   cms     mms2
HDS106PPB             84.5    6.0  0.580  0.600  0.591  0.596    5.9 
HDS Nomex 164         48.0   17.0  0.000  0.673  0.647  0.660   16.3 
HDS Nomex 205         30.0   31.0  0.920  0.929  0.908  0.919   30.3 
xxls10/4              19.2  133.8  0.520  0.523  0.514  0.518  131.4 
xxls10/8              25.0   79.9  0.510  0.513  0.507  0.510   79.0 
xxls10/8/dvc          24.0   90.0  0.480  0.491  0.489  0.490   89.6 
xxls10/alu            20.8   96.7  0.600  0.612  0.605  0.609   95.7 
xxls12/4              17.7  155.9  0.520  0.528  0.519  0.523  153.0 
xxls12/8              21.5  101.4  0.540  0.549  0.540  0.544   99.9 
xxls12/8/dvc          22.0  110.0  0.480  0.465  0.476  0.470  112.6 
xxls12/alu            19.1  130.6  0.530  0.537  0.532  0.534  129.4 
sls12                 28.0   75.4  0.430  0.433  0.428  0.431   74.5 
sls6                  36.1   35.2  0.550  0.559  0.552  0.556   34.7 
