                       fs    mms    cms    sag    pct
HDS Nomex 164         48.0   17.0  0.001  0.000  0.0% OK
HDS Nomex 205         30.0   31.0  0.920  0.280  6.2% Not OK
HDS106PPB             84.0    6.0  0.580  0.034  1.1% OK
SDS106(830851)        62.0    5.8  1.11   0.063  3.5% OK
SDS106(830856)        62.0    6.6  0.990  0.064  2.1% OK
SDS106TV(KT)          62.0    6.6  0.990  0.064  2.1% OK
sls w 10-39/08        33.0   51.1  0.000  0.000  0.0% OK
sls10 (830668)        33.0   51.1  0.450  0.226  2.8% OK
sls12                 28.0   75.4  0.430  0.318  4.0% OK
sls6                  36.0   35.2  0.550  0.190  2.4% OK
sls8                  36.0   33.0  0.570  0.185  2.2% OK
xxls10/4              19.0  133.8  0.520  0.683  5.5% Not OK
xxls10/8              25.0   79.9  0.510  0.400  3.2% OK
xxls10/8/dvc          24.0   90.0  0.480  0.424  3.4% OK
xxls10/alu            20.0   96.7  0.600  0.569  4.4% OK
xxls12/4              17.0  155.9  0.520  0.795  6.4% Not OK
xxls12/8              21.0  101.4  0.540  0.537  4.3% OK
xxls12/8/dvc          22.0  110.0  0.480  0.518  4.1% OK
xxls12/alu            19.0  130.6  0.530  0.679  5.2% Not OK
