-------------
b20-2002
            93.0dB           120W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 35.1Hz  68Hz  132Hz  100.1dB  298l +   8l  * 1x40mm   1030mm
 38.4Hz  72Hz  135Hz  101.6dB   90l +   8l  * 1x40mm    918mm
 41.9Hz  76Hz  139Hz  103.2dB   51l +   8l  * 1x40mm    818mm
 45.8Hz  81Hz  143Hz  104.7dB   34l +   8l  * 1x40mm    729mm
 49.9Hz  86Hz  147Hz  106.2dB   25l +   8l  * 1x40mm    650mm
 54.4Hz  91Hz  151Hz  107.7dB   19l +   8l  * 1x40mm    579mm
 59.1Hz  96Hz  156Hz  109.2dB   15l +   8l  * 1x40mm    516mm
 64.3Hz 102Hz  161Hz  110.6dB   12l +   8l  - 1x50mm    719mm
 69.7Hz 108Hz  167Hz  112.0dB   10l +   8l  - 1x50mm    641mm
 75.6Hz 114Hz  172Hz  113.4dB    8l +   8l  - 1x50mm    571mm
 81.8Hz 118Hz  179Hz  114.8dB    8l +   8l  - 1x50mm    535mm
 29.1Hz  71Hz  126Hz   96.9dB  118l +   6l  * 1x40mm   1297mm
 32.0Hz  75Hz  129Hz   98.5dB   59l +   6l  * 1x40mm   1155mm
 35.1Hz  79Hz  132Hz  100.1dB   38l +   6l  * 1x40mm   1030mm
 38.4Hz  84Hz  135Hz  101.6dB   27l +   6l  * 1x40mm    918mm
 41.9Hz  89Hz  139Hz  103.2dB   21l +   6l  * 1x40mm    818mm
 45.8Hz  94Hz  143Hz  104.7dB   16l +   6l  * 1x40mm    729mm
 49.9Hz 100Hz  147Hz  106.2dB   13l +   6l  * 1x40mm    650mm
 54.4Hz 106Hz  151Hz  107.7dB   11l +   6l  * 1x40mm    579mm
 59.1Hz 112Hz  156Hz  109.2dB    9l +   6l  * 1x40mm    516mm
 64.3Hz 119Hz  161Hz  110.6dB    8l +   6l  - 1x50mm    719mm
 69.7Hz 126Hz  167Hz  112.0dB    6l +   6l  - 1x50mm    641mm
 75.6Hz 114Hz  172Hz  113.4dB    8l +   6l  - 1x50mm    777mm
 81.8Hz 118Hz  179Hz  114.8dB    8l +   6l  - 1x50mm    728mm
 82.2Hz 136Hz  193Hz  114.9dB    5l +   6l  - 1x50mm    550mm
 35.0Hz  85Hz  206Hz  100.0dB   26l +   4l  * 1x40mm   1296mm
 38.6Hz  90Hz  210Hz  101.7dB   20l +   4l  * 1x40mm   1156mm
 42.5Hz  95Hz  213Hz  103.4dB   16l +   4l  * 1x40mm   1030mm
 46.7Hz 101Hz  218Hz  105.1dB   13l +   4l  * 1x40mm    918mm
 51.3Hz 107Hz  222Hz  106.7dB   10l +   4l  * 1x40mm    818mm
 56.3Hz 113Hz  227Hz  108.3dB    9l +   4l  * 1x40mm    729mm
 61.7Hz 120Hz  233Hz  109.9dB    7l +   4l  * 1x40mm    650mm
 67.6Hz 127Hz  239Hz  111.5dB    6l +   4l  * 1x40mm    579mm
 73.9Hz 135Hz  245Hz  113.0dB    5l +   4l  * 1x40mm    516mm
 80.7Hz 142Hz  252Hz  114.6dB    5l +   4l  - 1x50mm    719mm
-------------
B25-3002
            91.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 25.6Hz  51Hz  103Hz   96.9dB  242l +  12l  * 1x50mm   1923mm
 28.1Hz  54Hz  106Hz   98.5dB  113l +  12l  * 1x50mm   1714mm
 30.7Hz  58Hz  108Hz  100.1dB   71l +  12l  * 1x50mm   1528mm
 33.6Hz  61Hz  111Hz  101.6dB   50l +  12l  * 1x50mm   1361mm
 36.7Hz  65Hz  114Hz  103.1dB   37l +  12l  * 1x50mm   1213mm
 40.0Hz  69Hz  118Hz  104.6dB   29l +  12l  * 1x50mm   1082mm
 43.6Hz  73Hz  121Hz  106.1dB   24l +  12l  * 1x50mm    964mm
 47.4Hz  77Hz  125Hz  107.6dB   19l +  12l  * 1x50mm    859mm
 51.5Hz  82Hz  129Hz  109.0dB   16l +  12l  * 1x50mm    766mm
 55.9Hz  86Hz  133Hz  110.4dB   13l +  12l  * 1x50mm    682mm
 60.5Hz  91Hz  138Hz  111.8dB   11l +  12l  * 1x50mm    608mm
 65.5Hz  95Hz  143Hz  113.2dB   10l +  12l  * 1x50mm    570mm
 70.9Hz 103Hz  149Hz  114.6dB    8l +  12l  * 1x50mm    483mm
 76.6Hz 109Hz  154Hz  115.9dB    7l +  12l  * 1x50mm    431mm
 82.7Hz 115Hz  160Hz  117.3dB    6l +  12l  - 1x70mm    752mm
 23.3Hz  57Hz  101Hz   95.3dB   81l +   9l  * 1x50mm   2158mm
 25.6Hz  60Hz  103Hz   96.9dB   55l +   9l  * 1x50mm   1923mm
 28.1Hz  64Hz  106Hz   98.5dB   41l +   9l  * 1x50mm   1714mm
 30.7Hz  67Hz  108Hz  100.1dB   32l +   9l  * 1x50mm   1528mm
 33.6Hz  71Hz  111Hz  101.6dB   25l +   9l  * 1x50mm   1362mm
 36.7Hz  76Hz  114Hz  103.1dB   20l +   9l  * 1x50mm   1213mm
 40.0Hz  80Hz  118Hz  104.6dB   17l +   9l  * 1x50mm   1082mm
 43.6Hz  85Hz  121Hz  106.1dB   14l +   9l  * 1x50mm    964mm
 47.4Hz  90Hz  125Hz  107.6dB   12l +   9l  * 1x50mm    859mm
 51.5Hz  95Hz  129Hz  109.0dB   10l +   9l  * 1x50mm    766mm
 55.9Hz 101Hz  133Hz  110.4dB    9l +   9l  * 1x50mm    682mm
 60.5Hz  91Hz  138Hz  111.8dB   11l +   9l  * 1x50mm    828mm
 65.5Hz  95Hz  143Hz  113.2dB   10l +   9l  * 1x50mm    775mm
 70.9Hz 103Hz  149Hz  114.6dB    8l +   9l  * 1x50mm    658mm
 65.8Hz 109Hz  154Hz  113.3dB    7l +   9l  * 1x50mm    586mm
